"LOCH EIL (ACHOLALIEU)",,,,,,,,,,,,
Grid ref,NN066780,Long,-5.173339,Lat,56.853036,,,,,,,
Station no,5722,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,1.27,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,9.91,,,,,,,,
October,,,,,,,,,,,,
November,,,,8.96,,,,,,,,
December,,,,5.24,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,24.11,1.27,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
