LOCH EIL (ACHDALIEU),,,,,,,,,,
Grid ref,NN060782,Long,-5.183314,Lat,56.854579,Elevation,100,ft,,
Station no,5722,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,12.36,9.67,3.54,4.63
February,,,,,,,3.93,3.68,3.62,6.78
March,,,,,,,6.86,1.53,5.78,0.78
April,,,,,,,1.53,4.53,5.65,6.21
May,,,,,,,1.83,5.17,1.52,2.59
June,,,,,,,3.42,2.3,4.83,3.58
July,,,,,,5.53,6.13,2.78,6.89,4.49
August,,,,,,5,5.49,4.73,5.4,5.25
September,,,,,,8.12,3.12,5.64,3.06,3.11
October,,,,,,6.26,9.12,9.75,8.5,1.05
November,,,,,,7.42,2.12,1.68,9.74,7.41
December,,,,,,11.9,10.35,6.23,11.13,9.47
Total,,,,,,,66.26,57.69,69.66,55.35
,,,,,,,,,,
,,,,,,,,,,
1959 total changed to match sum of monthly values,,,,,,,,,,
