WORCESTER (BALL),,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,125,ft,,,,,,,,,,,,
Station no,RR2834,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,0.3,1.03,2.79,0.96,2.72,2.96,1.11,,,,,
February,,,,,,,,,1.27,1.18,0.49,2.83,0.79,0.53,1.12,,,,,
March,,,,,,,,,0.72,1.98,1.7,2.53,3.68,0.88,2.5,,,,,
April,,,,,,,,,4.57,2,1.37,1.36,2.18,1.28,1.01,,,,,
May,,,,,,,,,2.12,1.39,2.49,1.11,5.86,0.55,1.67,,,,,
June,,,,,,,,,1.31,1.55,6.56,2.57,2.56,3.92,0.81,,,,,
July,,,,,,,,,2.05,2.68,1.73,4.62,2.13,0.7,0.69,,,,,
August,,,,,,,,,2.42,3.61,4.93,0.6,1.52,2.74,0.37,,,,,
September,,,,,,,,,2.17,2.44,2.52,2.68,4.71,2.21,2.95,,,,,
October,,,,,,,,,2.91,2.46,1.73,1.78,3.62,3.38,1.92,,,,,
November,,,,,,,,,0.51,2.88,2.21,2.25,0.72,2.06,1.98,,,,,
December,,,,,,,,,2.39,2.32,5.94,1.58,1.81,0.97,2.72,,,,,
Total,,,,,,,,,22.74,25.52,34.46,24.87,32.3,22.18,18.85,,,,,
,,,,,,,,,,,,,,,,,,,,
"TYRs have James Bell and J S Wall as observers - can't find anyone ""reasonable"" in 1861 census in Worcestershire",,,,,,,,,,,,,,,,,,,,
Location refers to River Severn Right Bank 1 section,,,,,,,,,,,,,,,,,,,,
"Title could just as well be Worcestershire, given other records, as the city of Worcester",,,,,,,,,,,,,,,,,,,,
