LEIGH-VICARAGE-(TOTNEL-HOUSE),,,,,,,,
Grid ref,ST628085,Long,-2.52997,Lat,50.87479,Elevation,325,ft
Station no,RR7866,,,,,,,
,,,,,,,,
,1918,1919,,,,,,
January,4.88,6.93,,,,,,
February,1.96,3.52,,,,,,
March,1.77,5.03,,,,,,
April,1.99,2.89,,,,,,
May,1.77,0.76,,,,,,
June,1.3,1.14,,,,,,
July,4.52,2.22,,,,,,
August,2.67,3.98,,,,,,
September,6.24,2.11,,,,,,
October,2.33,2.06,,,,,,
November,4.08,2.78,,,,,,
December,4.32,6.03,,,,,,
Total,37.83,39.45,,,,,,
,,,,,,,,
1918 Gauge moved from Leigh Vicarage,,,,,,,,
