CALLINGTON-CHURCH-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SX359696,Long,-4.31495,Lat,50.50355,Elevation,490,ft,,,,,,,,,,,,
Station no,RR6354,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,8.06,8.14,8.64,4.64,4.92,11.92,10.09,,11.65,,,,
February,,,,,,,,4.9,3.96,6.49,6.73,3.92,8.67,3.83,,1.84,,,,
March,,,,,,,,5.49,3.84,3.15,3.82,2.8,6.05,4.65,,2.12,,,,
April,,,,,,,,4.81,4.68,2.22,0.2,7.51,2.8,0.8,,1.63,,,,
May,,,,,,,,3.99,3.11,8.05,3.7,0.3,2.04,2.49,,0.04,,,,
June,,,,,,,,2.27,0.89,0.45,0.25,2.67,4.13,2.44,,4.39,,,,
July,,,,,,,,6.59,0.57,1.36,1.63,7.24,3.37,5.39,,5.48,,,,
August,,,,,,,,1.53,5.32,0.65,1.77,2.38,1.97,6.93,,2.83,,,,
September,,,,,,,,2.6,6.05,6.59,2.36,7.96,5.32,2.9,,6.15,,,,
October,,,,,,,,7.68,6.44,5.36,7.95,7.21,8.46,3.78,,7.91,,,,
November,,,,,,,,1.97,8.43,4.05,4.03,2.01,9.32,5.6,,7.5,,,,
December,,,,,,,,4.14,12.41,7.11,3.81,5.62,9.76,1.46,7.83,,,,,
Total,,,,,,,,54.03,63.84,54.12,40.89,54.54,73.81,50.36,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exact location in Church St unknown but a short road with all houses on west side matching elevation,,,,,,,,,,,,,,,,,,,,
1874 No reply,,,,,,,,,,,,,,,,,,,,
