PENSILVA-PENLEE-LYNDHURST,,,,,,,,,,
Grid ref,SX294699,Long,-4.40709,Lat,50.50426,Elevation,700,ft,,
Station no,1944/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.75,3.27,8.79,6.9,5.1,8.39,10.02,6.9
February,,8.35,2.63,6.87,5.68,0.59,8.64,6.41,0.34,6.38
March,,5.83,1.72,5.46,2.07,3.89,7.19,2.3,7.41,4.97
April,,4.64,3.29,1.79,2.34,1,0.27,1.54,5.24,5.56
May,,3.55,5.57,6.52,5.35,1.56,3.24,5.13,1.83,2.39
June,,2.61,3.5,5.7,3.3,3.67,3.06,6.19,2.15,2.83
July,,1.97,5.35,5.7,0.86,,5.24,4.13,2.12,6.66
August,,7.36,3.29,5.93,0.51,,4.91,9.06,3.02,5.32
September,,4.46,6.09,7.56,3.23,,6.41,7.24,0.49,6.01
October,,8.32,4.69,6.65,4.1,,4.88,5.82,8.23,10.6
November,,4.77,5.55,13.01,6.5,,2.81,4.24,12.43,10.01
December,,6.44,1.73,7.22,10.55,,5.95,7.39,14.09,8.5
Total,,,45.16,75.68,53.28,,57.7,67.84,67.37,76.13
,,,,,,,,,,
NGR is Lyndhurst ,,,,,,,,,,
1952 Annual total only received via CRA for a number of years The 1952 return is the first to give monthly totals,,,,,,,,,,
1953 Jan Feb Estimated poss for snow,,,,,,,,,,
1956 Observer died Station terminated in June,,,,,,,,,,
1957 Footnote for BR1957 Gauge moved 200yds E from Penlee ,,,,,,,,,,
1959 Gauge moved NNW Change of observer,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Pensilva SRC_ID 8638,,,,,,,,,,
1952-1972,,,,,,,,,,
