LYME-REGIS-OVERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY344932,Long,-2.93054,Lat,50.7347,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3,4.9,2.02,4.73,4.63,4.65,3.34,6.34,1.59,5.2,2.7,3.34,1.86,2.59,0.82,6.12,4.9,3.19,5.43,2.65,5.96,4.7,,,,,,,,
February,,0.31,2.48,6.69,1.08,4.1,2.33,3.35,3.09,2.05,1.27,2.59,0.05,4.5,0.19,3.08,3.13,6.05,1.03,2.01,3.82,3.69,0.2,,,,,,,,
March,,1.8,2.61,1.54,1.52,0.37,0.55,4.05,3.21,0.35,1.91,1.58,2.13,3.41,2.39,1.29,5.25,3.68,0.23,1.04,2.77,3.2,2.79,,,,,,,,
April,,1.09,4.04,2.71,3,2.36,2.72,2.22,1.35,0.91,3.03,2.83,2.63,2.36,3.41,3.89,2.76,2.87,0.1,2.32,2.29,1.93,1.56,,,,,,,,
May,,2,0.75,1.16,5.22,3.68,1.6,0.81,1.72,2.44,2.08,3.15,4.42,2.3,0.99,1.55,0.86,3.1,2.23,0.7,2.65,2.29,5.71,,,,,,,,
June,,0.6,0.91,0.49,2.42,0,3.44,2.7,2.36,2.39,0.42,3.36,2.77,1.23,0.98,4.06,2.13,1.36,1.47,3.46,0.71,1.29,0.46,,,,,,,,
July,,0.37,4.62,1.03,4.02,3.48,4.71,3.41,1.8,1.58,1.8,3.03,3.54,2.07,0.06,0.36,5.7,3.38,3.9,4.36,2.88,1.04,0.87,,,,,,,,
August,,2.29,4,1.99,3.05,2.72,1.18,3.32,1.99,2.6,2.56,4.6,1.56,2.93,4.11,2.74,0.24,1.32,3,2.62,0.11,4.25,5.23,,,,,,,,
September,,0.88,2.07,3.14,5.71,3.27,0.88,5.73,1.54,0.57,5.2,1.96,4.68,1.98,2.87,3.6,2.59,3.26,2.16,1.03,2.09,1.66,2.51,,,,,,,,
October,,1.19,1.59,5.07,5.9,4,3.52,2.34,7.35,5.02,3.06,0.51,7.09,2.68,2.61,3.71,1.59,4.36,3.88,6.16,4.37,1.92,6.38,,,,,,,,
November,,2.83,1.87,1.56,3.35,3,8.53,3.73,2.7,9.63,5.47,6.38,2.41,1,1.75,6.5,3,3.05,5.87,7.76,8.25,1.94,1.35,,,,,,,,
December,,1.4,4.22,3.22,4.44,4.88,0.48,4.58,3.22,6.74,4.39,1.61,2.2,1.11,9.61,5.83,3.35,3.9,4.04,2.18,3.04,2.54,4.14,,,,,,,,
Total,,17.76,34.06,30.62,44.44,36.49,34.59,39.58,36.67,35.87,36.39,34.3,36.82,27.43,31.56,37.43,36.72,41.23,31.1,39.07,35.63,31.71,35.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumed to be in what is now Overton Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Inspection Gauge in wooden frame over exposed to WSW Good site available lower down garden Gauge and measure OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
