WORMHILL-HARGATE-WALL,,,,,,,,,,
Grid ref,SK117752,Long,-1.8260139,Lat,53.273658,Elevation,1140,ft.,,
Station no,2680/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.05,6.5,2.12,4.05,3.35,8.55,3.55,5,4,6.7
February,5.42,1.75,2.37,3.32,3,1.78,3.25,8.21,0.66,3.75
March,6.48,2.5,2.61,3.44,3.42,2.65,3.6,3,2.6,2.1
April,2.82,3.68,3.33,0.85,2,2,0.57,1,3.6,2.4
May,2.6,3.45,2.65,3.12,4.5,1.1,2.6,4,1.1,2.2
June,1.51,3.15,3.09,3.25,3.35,3.09,2.07,,1.6,
July,2.15,1.76,4.15,5.45,0.95,6.25,4.75,6.4,3.28,5.75
August,4.9,2.15,4.95,6,0.75,8.57,7,2.77,1,4.1
September,3.18,4.07,2.95,5.57,2.18,3.85,8.55,6.18,0.16,4
October,1.18,5.5,2.67,7,3.75,2.95,3.73,5,3.83,6.72
November,10.82,3.87,2.85,8.05,3.34,2,2.23,1.5,5.86,6.14
December,6.75,4.42,2.05,7.56,5,7.15,6,4.6,7.7,5.23
Total,52.86,42.8,35.79,57.66,35.59,49.94,47.9,,35.39,
,,,,,,,,,,
MIDAS src_id 3341 HARGATEWALL  Start 1951 and still current,,,,,,,,,,
NGR is from the 1950s record and is Hargate Wall. Altitudes match,,,,,,,,,,
