"THETFORD (LYNFORD HALL)",,,,,,,,,,,,
Grid ref,TL819940,Long,0.679174,Lat,52.513529,,,,,,,
Station no,1458/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,2.36,0.97,1.74,1.88,3.00,1.86,,,,,
February,2.75,0.85,1.36,2.12,2.41,1.31,2.59,,,,,
March,3.61,2.84,0.56,2.60,1.72,0.74,2.47,,,,,
April,3.24,1.40,2.54,0.30,0.71,0.88,0.29,,,,,
May,1.69,1.51,1.93,2.36,2.45,0.84,1.54,,,,,
June,1.25,1.12,3.15,2.31,1.95,2.56,2.19,,,,,
July,1.06,1.16,2.84,2.74,0.11,2.13,3.98,,,,,
August,2.95,3.23,2.21,5.05,1.05,3.68,2.97,,,,,
September,2.46,2.36,1.21,1.82,2.11,1.36,4.00,,,,,
October,0.77,2.71,2.17,2.66,2.91,1.72,,,,,,
November,2.77,3.98,1.33,4.83,1.15,0.96,,,,,,
December,1.58,2.18,1.03,1.93,1.54,2.43,,,,,,
Total,27.07,25.70,21.30,30.46,19.99,21.61,,,,,,
Calc annual,27.07,25.70,21.30,30.46,19.99,21.61,21.89,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
