WHITEHAVEN HIGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX975184,Long,-3.5847,Lat,54.5511,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,0.71,9.17,4.64,4.13,2.82,1.79,4.58,4.59,3.67,3.43,4.88,4.12,4.54,4.6,1.87,3.74,5.68,2.99,9.41,8.01,5.89,,,,,,
February,,,,4.24,5.3,7.6,3.63,5.28,0.94,2.77,4.38,1.54,2.66,0.86,3.5,2.83,2.01,1.83,7.82,2.05,4.84,3.77,3.55,2.24,,,,,,
March,,,,2.93,2.56,5.75,5.74,1.21,4.47,6.23,0.4,3.8,4.91,1.93,3.74,3.75,4.46,1.37,4.59,0.84,0.97,3.46,0.26,1.2,,,,,,
April,,,,2.35,1.4,1.37,2.93,1.79,2.36,1.46,0.58,3.8,0.55,6.05,2.66,2.59,2.85,2.56,0.49,1.49,3.11,2.3,1.19,2.48,,,,,,
May,,,,2.26,2.48,3.96,0.01,1.15,3.24,0.84,3.78,2.95,2.29,2.02,0.26,1.48,2.32,3.43,1.8,3.04,1.33,1.06,4.2,0.27,,,,,,
June,,,,6.78,4.68,1.6,6.64,3.65,7.13,4,5.89,4.51,1.86,4.5,3.88,4.1,2.31,2.91,3.87,1.22,2.01,3.88,3.51,3.15,,,,,,
July,,,,4.38,5.07,5.45,7.15,7.24,4.89,5.68,8.14,4.57,3.78,6.1,4.18,2.9,9.06,0.77,3.63,5.48,5.36,3.47,2.92,4.93,,,,,,
August,,,,2.09,4.75,1.81,5.89,2.16,5.15,5.66,6.17,7.88,1.81,4.87,2,6.99,4.06,4.49,5.05,3.77,4.5,4.07,5.15,3.12,,,,,,
September,,,,2.34,4.28,6.51,6.4,3.3,3.29,6.71,5.75,5.67,2.87,0.39,5.81,3.65,2.86,3.74,2.27,2.81,2.64,2.74,2.14,2.73,,,,,,
October,,,,4.24,3.94,6.22,4.05,5.83,4.57,4.21,2.45,8.34,2.39,6.75,4.33,6.74,7.98,5.41,5.77,5.25,3.36,4.73,3.04,6.59,,,,,,
November,,,,7.09,2.75,5,6.16,4.62,4.48,4.05,4.42,3.96,3.7,5.57,1.93,4.02,4.67,7.94,3.51,4.97,6.26,2.55,5.05,4.3,,,,,,
December,,,,9.05,3.32,4.23,6.25,6.28,1.64,2.79,0.89,5.28,4.44,2.3,0.31,5.62,1.95,6.6,4.8,2.4,3.1,1.68,11,0.5,,,,,,
Total,,,,48.46,49.7,54.14,58.98,45.33,43.95,48.98,47.44,55.97,34.69,46.22,36.72,49.21,49.13,42.92,47.34,39,40.47,43.12,50.02,37.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838 Jan 1.78 mistranscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836 Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841 Aug Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846 Sept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for northern end of High St which is near the recorded elevation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
