"SPEAN BRIDGE (GAIRLOCHY)",,,,,,,,,,,,
Grid ref,NN176843,Long,-4.997755,Lat,56.914004,,,,,,,
Station no,5738/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.10,10.34,7.42,8.53,,5.77,13.29,6.83,2.91,3.84,,
February,,5.57,7.05,4.02,,4.63,4.03,3.20,5.71,6.45,,
March,,4.10,2.88,4.91,,4.31,7.15,2.24,5.82,1.08,,
April,,1.31,4.98,3.52,4.35,3.91,1.90,5.97,6.25,8.54,,
May,,1.93,4.86,4.44,3.73,6.42,2.47,6.57,1.93,2.69,,
June,3.35,4.52,1.88,4.14,4.34,2.77,4.57,1.75,5.37,4.91,,
July,5.42,3.92,6.87,-999.00,1.52,6.45,6.98,3.73,6.85,3.53,,
August,6.99,1.77,7.18,6.32,1.74,4.71,6.55,5.15,5.44,5.17,,
September,6.13,6.89,7.46,9.03,9.46,7.66,4.44,4.48,2.56,4.41,,
October,3.21,8.76,5.11,12.92,6.33,9.20,10.14,9.91,9.71,1.75,,
November,8.41,5.56,12.72,9.44,3.09,7.06,3.25,1.74,8.68,5.97,,
December,13.59,9.15,8.29,15.88,12.91,14.46,11.08,6.03,9.58,10.64,,
Total,,63.82,76.70,87.15,,77.35,75.85,57.60,70.81,58.98,,
Calc annual,56.20,63.82,76.70,83.15,47.47,77.35,75.85,57.60,70.81,58.98,,
Difference,NaN,0.00,0.00,4.00,NaN,0.00,0.00,0.00,0.00,-0.00,,
