"STRETFORD (LONGFORD PARK)",,,,,,,,,,,,
Grid ref,SJ807948,Long,-2.292073,Lat,53.449604,,,,,,,
Station no,2827,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.80,3.31,1.16,3.20,2.39,4.37,,2.55,3.37,4.96,,
February,2.06,0.98,1.12,2.90,1.94,0.64,,4.98,0.37,2.35,,
March,4.19,2.13,1.69,2.38,2.14,0.82,3.14,2.27,1.72,1.09,,
April,1.84,3.36,2.33,0.52,1.95,3.61,0.51,1.00,3.26,1.70,,
May,2.12,1.50,1.70,2.42,2.49,1.15,1.61,3.10,1.50,2.32,,
June,1.02,2.69,2.03,3.12,2.96,2.08,1.75,4.81,2.47,2.34,,
July,2.58,1.86,3.40,3.89,0.83,5.01,5.18,4.78,2.85,5.14,,
August,3.81,1.95,4.53,5.00,0.77,10.14,4.20,6.28,0.41,6.20,,
September,2.97,2.92,2.68,3.46,2.43,,5.92,4.39,0.26,3.26,,
October,1.19,3.11,1.88,6.39,1.87,,4.04,2.92,3.43,3.25,,
November,6.49,2.09,3.04,5.35,1.59,,1.55,1.50,4.05,5.11,,
December,5.21,3.06,1.24,5.36,3.70,,3.57,3.56,5.28,3.85,,
Total,36.28,28.96,26.80,43.99,25.06,,,42.14,28.97,41.57,,
Calc annual,36.28,28.96,26.80,43.99,25.06,27.82,31.47,42.14,28.97,41.57,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,-0.00,-0.00,0.00,,
