STRETFORD LONGFORD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ801951,Long,-2.3011259,Lat,53.452278,Elevation,92,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.49,4.26,3.39,2.07,2.14,2.13,3.84,3.07,4.1,4.52,1.9,0.79,3.6,4.52,3.35,,,,,,
February,,,,,,,,,,,0.25,3.79,0.09,2.81,0.38,3.12,1.73,4.82,1.16,3.9,1.71,2.85,1.87,2.49,1.17,,,,,,
March,,,,,,,,,,,2.73,0.26,1.88,2.72,2.45,1.01,1.39,1.46,1.07,1.88,2.79,2.56,2.74,0.71,0.32,,,,,,
April,,,,,,,,,,,1.59,3.45,2.74,1.25,1.73,2.63,1.06,2.4,0.37,1.87,1.73,1.18,1.48,1.13,1.96,,,,,,
May,,,,,,,,,,,1.73,2.79,4.18,1.42,1.97,0.91,0.7,2.47,3.43,1.5,0.88,1.62,3.63,1.71,2.54,,,,,,
June,,,,,,,,,,,1.51,5,0.51,3.22,1.98,3.16,3.04,1.25,3.27,2.54,0.93,0.37,0.52,2.78,2.16,,,,,,
July,,,,,,,,,,,6.5,3.3,3.23,2.42,1.78,0.98,2.69,2.19,4.14,5.68,3.57,2.69,3.81,1.64,2.55,,,,,,
August,,,,,,,,,,,4.94,6.96,1.3,1.54,3.31,1.44,2.31,2.74,2.97,1.4,1.53,4.95,4.41,4.37,2.7,,,,,,
September,,,,,,,,,,,3.17,2.64,3.55,1.12,2.93,5.43,4.35,0.99,2.09,0.99,3.56,0.52,1.94,3.26,2.88,,,,,,
October,,,,,,,,,,,4.88,1.47,7.62,4.61,4.81,5.07,3.12,1.66,6.41,1.47,3.64,3.96,5.33,2.31,2.84,,,,,,
November,,,,,,,,,,,4.41,5.39,2.79,0.96,1.64,4.72,3.35,1.95,3.98,5.31,6.19,2.25,0.66,1.81,4.79,,,,,,
December,,,,,,,,,,,3.2,1.31,1.28,0.48,4.86,3.86,2.95,2.29,3.82,3.17,2.94,1.54,3.62,1.29,1.8,,,,,,
Total,,,,,,,,,,,39.4,40.62,32.56,24.62,29.98,34.46,30.53,27.29,36.81,34.23,31.37,25.28,33.61,28.02,29.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge originally located at Stretford UDC electricity generating station from 1930 to 1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 total has brackets and question mark. No explanatory note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note states 1943 and 1944 readings are low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Longford Park in 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
