STRETFORD LONGFORD PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ807948,Long,-2.29207,Lat,53.4496,Elevation,92,ft,,,,,,,,,,,,
Station no,2826/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.95,2.4,8.05,1.83,1.64,2.8,3.31,1.16,3.2,2.39,4.37,,2.55,3.37,4.96
February,,,,,,5.28,0.45,1.77,1.61,3.98,2.06,0.98,1.12,2.9,1.94,0.64,,4.98,0.37,2.35
March,,,,,,0.73,4.86,1.31,1.83,1.46,4.19,2.13,1.69,2.38,2.14,0.82,3.14,2.27,1.72,1.09
April,,,,,,1.21,2.5,1.33,2.66,2.96,1.84,3.36,2.33,0.52,1.95,3.61,0.51,1,3.26,1.7
May,,,,,,1.17,2.03,1.24,4.07,1.25,2.12,1.5,1.7,2.42,2.49,1.15,1.61,3.1,1.5,2.32
June,,,,,,3.09,1.88,4.28,0.76,2.64,1.02,2.69,2.03,3.12,2.96,2.08,1.75,4.81,2.47,2.34
July,,,,,,3.83,2.67,2.28,1.51,3.35,2.58,1.86,3.4,3.89,0.83,5.01,5.18,4.78,2.85,5.14
August,,,,,,3.43,0.38,4.03,2.87,4.48,3.81,1.95,4.53,5,0.77,10.14,4.2,6.28,0.41,6.2
September,,,,,,4.76,2.39,2.18,0.75,4.6,2.97,2.92,2.68,3.46,2.43,,5.92,4.39,0.26,3.26
October,,,,,,1,1.7,2.43,2.83,2.14,1.19,,1.88,6.39,1.87,,4.04,2.92,3.43,3.25
November,,,,,,4.74,3.76,1.91,4.67,4.84,6.49,2.09,3.04,5.35,1.59,,1.55,1.5,4.05,5.11
December,,,,,,3.21,4.03,2.92,4.59,3.01,5.21,,1.24,5.36,3.7,,3.57,3.56,5.28,3.85
Total,,,,,,36.4,29.05,33.73,29.98,36.35,36.28,,26.8,43.99,25.06,,,42.14,28.97,41.57
,,,,,,,,,,,,,,,,,,,,
Gauge moved from Stretford UDC electricity generating station,,,,,,,,,,,,,,,,,,,,
Station number changed from 2827,,,,,,,,,,,,,,,,,,,,
NGR verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,
Elevation verified to OS map,,,,,,,,,,,,,,,,,,,,
Omitted estimated amounts for October and December 1952,,,,,,,,,,,,,,,,,,,,
