NORTHAM LODGE,,,,,,,,,,,,
Grid ref,SS450285,Long,-4.212018,Lat,51.034901,,,,,,,
Station no,1866/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.99,3.99,1.03,1.89,4.04,5.43,,,,,,
February,4.00,1.52,1.68,3.89,3.64,0.50,,,,,,
March,4.45,2.71,1.31,3.15,1.08,1.06,,,,,,
April,3.10,3.52,2.31,0.59,1.64,2.48,,,,,,
May,2.88,2.83,3.33,2.71,3.58,1.10,,,,,,
June,0.82,1.72,1.23,2.80,3.49,2.24,,,,,,
July,2.28,1.10,5.47,3.87,1.36,6.07,,,,,,
August,4.20,6.24,2.44,2.83,0.16,5.11,,,,,,
September,2.74,3.58,4.62,3.70,1.86,6.77,,,,,,
October,1.74,4.81,2.20,4.51,3.79,2.97,,,,,,
November,4.92,4.14,2.51,7.38,3.39,1.95,,,,,,
December,4.26,4.70,0.92,3.35,8.11,5.31,,,,,,
Total,40.38,40.86,29.05,40.67,36.14,40.99,,,,,,
Calc annual,40.38,40.86,29.05,40.67,36.14,40.99,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
