GODALMING-CHALK-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU971443,Long,-0.61192939,Lat,51.189686,Elevation,150,ft.,,,,,,,,,,,,
Station no,186/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.42,2.98,5.3,2.89,2.95,2.85,6.01,1.8,1.8,2.31,2.17,4.98,0.94,
February,,,,,,,4.64,0.58,1.4,3.09,2.83,0.9,1.48,0.71,2.01,2.42,1.63,1.41,1.36,
March,,,,,,,4.14,0.28,1.64,3.29,3.3,1.82,0.55,0.15,0.98,1.14,4.96,0.82,1.11,
April,,,,,,,2.64,0.19,2.76,1.91,1.92,1.61,0.95,1.16,0.96,2.73,2.09,1.7,1.68,
May,,,,,,,2.64,1.28,2.58,1.04,2.31,3.68,2.83,0.57,1.64,3.62,1.69,2.42,2.19,
June,,,,,,,1.81,0.65,1.58,1.05,1.86,0.44,1.37,1.49,2.53,2.75,2.17,2.76,0.36,
July,,,,,,4.54,0.73,1.99,3.49,3.13,2.48,2.03,1.52,1.43,5.37,2,1.1,0.95,0.78,
August,,,,,,1.12,1.31,2.27,2.09,0.15,4.84,3.54,1.36,1.51,2.58,4.51,0.61,3.96,0.91,
September,,,,,,2.28,2.29,1.87,0.72,1.72,0.27,1.74,1.72,2.52,2.22,3.86,1.21,1.65,1.14,
October,,,,,,2.05,3.5,2.95,5.35,3.81,1.23,3.6,3.14,4.29,3.07,1.29,0.56,1.6,7.15,
November,,,,,,3.6,2.41,4.56,4.86,7.39,3.58,1.92,1.66,4.14,0.29,5.34,1.22,1.58,2.88,
December,,,,,,3.38,4.19,3.97,1.45,1.59,1.92,3.56,1.78,2.46,4.15,3.3,2.99,4.12,1.63,
Total,,,,,,,36.72,23.57,33.22,31.06,29.49,27.69,24.37,22.23,27.6,35.27,22.4,27.95,22.13,
,,,,,,,,,,,,,,,,,,,,
NGR is on Chalk Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,
The relationships to church and station are different for the 1940s record suggesting that the gauge may have moved  600m NE.,,,,,,,,,,,,,,,,,,,,
"A move is not mentioned on the record, although the stated altitude changes in 1948; but does not match either location",,,,,,,,,,,,,,,,,,,,
1936 readings are the same as Godalming Holloway Hill (not on GitHub). The Holloway Hill record acknowledges the readings are from Chalk Road,,,,,,,,,,,,,,,,,,,,
