GREENOCK W W (KNOCKENCORSAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS249682,Long,-4.800418,Lat,55.875048,Elevation,1040,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.7,,,,8.2,1.2,4,2.4,6.2,7.4,9,3.3,7.5,8.7,5.9,4.5,7,4,7,6.6,6,4.7,6.7,3.5,6.8,6.5,8.1,4.4,5.9,5.7,7.9,14.6,4.8,11.3,7.3,4.4,14.2,10,14.5,3.6,10.9,9.1,12.5,,,,,,,,
February,1.5,,,,10.5,1.5,3.7,4.5,6.4,3.5,5,2.3,1.6,8.1,5.8,3.5,4.3,5.9,4.1,6,9,8.5,6.1,3.5,7.7,8,5.9,1.9,10.5,2.2,9.2,2.8,5.4,8.1,2.2,3.5,8.1,4.8,6.5,3.5,0.5,5.9,0.1,,,,,,,,
March,4.9,,,,4.8,5.6,7,6.1,3.2,2.9,0.6,2,4.8,8.8,3.9,6.1,3.4,5.5,6.7,4,2.3,1.7,9.8,5.2,8,5,3.2,3.4,3.2,3,6.6,8.3,2.2,3.6,1.4,2.7,5.4,5.6,7.5,2.9,4.9,1.8,3,,,,,,,,
April,2.1,,,,4.2,4.1,2.7,3.6,3.9,5.6,3.8,5.2,2.7,2.1,5.2,4.5,1.7,4.8,2.3,6,4.4,3.9,4.3,4.6,4.8,3.5,6,2.4,2.2,4.4,3,2.2,4.2,4.1,3.5,5.1,2.7,4.4,3.1,1.4,2.5,3.2,6.5,,,,,,,,
May,4.1,,,,5,0.2,0.9,3.6,2.5,4.6,4.9,2.5,2.7,4.7,3.5,2.6,7.6,6.9,4.5,4.2,2.5,3.3,3.3,6,3.6,0.9,7,4,4.1,1.2,9.5,3.8,5.3,2.8,4.7,7.9,4.4,4.7,2.2,7.8,3.2,5.6,3.2,,,,,,,,
June,7.8,,,,3.6,2.4,5.4,7.5,4.6,2.5,3.1,3.3,2.1,3.3,3.1,1.3,2.5,6.2,4.7,3.1,2.4,4.5,6.9,6,2,2.2,2,3.9,2.3,6.2,2.7,2.1,3.4,2.3,3.3,2.4,5.1,5.5,8.8,5.1,3.9,9.3,2.9,,,,,,,,
July,6.3,,,,4.3,4.5,6.4,4,3.9,5.5,5,1.7,7.1,5.6,4,4.8,4.5,3.2,5.2,7.2,3.5,4.7,3.5,1.4,2.5,7.4,3.4,2.9,5.3,1.8,5.4,5.5,3.3,5.8,5,2.2,3.9,7.9,6.1,8.7,4.4,6.1,5.5,,,,,,,,
August,5.3,,,,7,8.4,4,7.4,9.3,2.7,6.6,8,5.5,12.4,6,6.4,5.6,6.8,6,4.8,12,4.8,6.1,1.5,6.6,4.1,4.9,4.8,5.6,4.7,6.5,8.4,3.2,8.1,5.5,4.7,6.4,7.9,6.2,9.2,8.3,3.3,5,,,,,,,,
September,9.8,,,,0.2,3.2,6.5,5.8,8.1,6.9,6.1,5.7,5.4,4.8,7.2,4.8,3,2,12.5,3,2.9,4.6,3.8,2.7,4,2.5,2.9,5.9,7.5,6.8,4.3,3,3.8,8.7,8.5,4.5,6.5,9.8,6.9,3.5,6.3,2.4,7.4,,,,,,,,
October,7,,,,5,5.4,3.6,3.8,5.4,5.2,8.6,6.9,4,12,4,5.6,9.2,8.9,2,6.5,2.4,5.2,8.4,4.2,4,4.3,10.3,12.8,11,1.9,4.6,5.4,4,7.3,3.9,5.4,9.8,9.8,12.4,9.9,14.4,7.4,9.2,,,,,,,,
November,13,,,,5.5,6.9,3,5.4,6.8,6.9,7.1,8,5,5.2,6,5.9,6.5,7.3,6.3,3.7,4.8,7.2,7.9,9.4,6.6,3,7.2,14.7,9.5,5.8,8,3.7,4,5.3,5.2,2.3,10.9,7.7,12.3,9.7,10.5,10.3,6.9,,,,,,,,
December,1.4,,,,5,6.1,7.6,7.1,10,6.4,10.2,4.7,6.6,6.4,4.4,5.5,6.9,7.6,7.5,6,9.4,11,9.4,6.6,8,8,9,3.6,9.6,10.7,5.9,13,5.9,5.6,8.3,2.9,4.9,1.7,7.7,15.2,9.7,7.6,12.9,,,,,,,,
Total,70.9,,,,63.3,49.5,54.8,61.2,70.3,60.1,70,53.6,55,82.1,59,55.5,62.2,69.1,68.8,61.1,61.6,64.1,76.2,54.6,64.6,55.4,69.9,64.7,76.7,54.4,73.6,72.8,49.5,73,58.8,48,82.3,79.8,94.2,80.5,79.5,72,75.1,,,,,,,,
