GREENOCK W W (KNOCKENCORSAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS249682,Long,-4.800418,Lat,55.875048,Elevation,1040,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.6,12.8,8.7,9.5,4.5,6.7,10.1,10.4,5.4,4.5,2,10.5,8.4,9.2,4,9.5,10.5,9.3,8.8,4.5,6.2,8.5,4.8,8.5,5.1,4.5,7.6,7.6,2.3,5.2
February,7,0.1,7.8,1.8,9.3,4.1,5.7,4.8,9.3,3.1,6.4,2.5,7.4,3.1,9.7,4.2,2,6.2,7.8,5.8,4.4,3.5,3.5,7.5,4.2,2.2,4.9,4.7,2.7,6.9
March,1.5,3.5,5.1,3.6,3,5,1.6,8.2,4.8,5.8,3.6,6.9,4.1,1.9,5.2,3.1,5,7.9,4.8,3.9,4.5,4.8,1.7,4.5,2,3.6,6.4,2.1,4.3,3.5
April,3,6,5.5,5.4,4.4,2.2,4.1,1.1,4.1,4.1,3.8,3.5,4.6,4.4,2.1,4.9,8.6,4.1,8.8,4.2,3.7,3.2,3.2,3.7,4.5,1.9,3.3,2.9,5.5,6.6
May,5.3,3.3,4.5,5.1,0.7,3.2,2,4.9,2.2,1.4,3.4,4.1,4.1,6,5.4,1.5,5.4,2.5,2.6,2,2.8,2.3,3.3,3.9,4.3,4.1,2.3,5,2,3.2
June,8.8,2.7,3.4,4.2,4.6,2.3,5.7,8.8,2.5,2,2.5,3,5.1,6,5,5.1,4.6,6.8,1.6,3.7,2.3,4.5,1.8,6.5,8.3,4,2.9,4,4,3.6
July,6.6,5.9,7.1,4.9,4.5,8.2,6.2,6.8,8.1,4.8,5.5,6,2.5,6,5,4.7,5.6,8,2.9,6.2,5.3,4.5,7.8,5.9,5.9,6.2,6.3,7,8,6.7
August,3,4.5,5.8,6.2,3.4,5.2,4.5,4.4,2.7,4.1,6.8,8.6,11.2,5,3.7,4.3,0,7.7,5.5,7.1,4.9,7.2,6.8,7.3,1.3,7.5,6.1,5.8,2.2,4.6
September,2.7,7.1,1.2,8,9.3,5.2,5.5,7.9,4.8,6.5,2.6,7.9,6.5,8,7.8,9.1,6.8,10.2,3.2,11.3,5.3,5,8,8.9,8.8,5.1,4.2,5.3,2,4.3
October,8,10.4,3.6,10.8,16.2,9.2,3.9,13.3,6,7.2,6.5,8.9,12.7,8.5,9.5,0.6,3.4,10.9,9.2,5.8,2.5,8.6,4.9,11.2,6.3,3.2,6.7,5.7,7.6,4.5
November,10.1,7.1,4.9,3.8,7.9,5.7,1.7,12.8,11.5,9.2,6.3,1.5,4.4,9.7,1,8.4,9.5,5.8,7.4,5.3,8.5,2.9,10.3,11.4,3.7,3.3,4,2.7,7.6,10.3
December,8.8,13.3,2.8,12.7,5.4,11,3.3,7.5,4.1,8.6,4.3,11.9,4,8.9,6.8,8.6,4.4,9.1,10,2,9.4,7,6.2,9.1,9,7.6,7.9,7.7,12.3,7.5
Total,73.4,76.7,60.4,76,73.2,68,54.3,90.9,65.5,61.3,53.7,75.3,75,76.7,65.2,64,65.8,88.5,72.6,61.8,59.8,62,62.3,88.4,63.4,53.2,62.6,60.5,60.5,66.9
