HITCHIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL189291,Long,-0.2714521,Lat,51.947697,Elevation,238,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.11,3.17,4.56,2.05,0.88,1.13,2.16,2.71,0.78,1.06,3.03,1.13,1.64,3.04,1.06,2.96,3.63,3.01,2.98,2.58,1.17,1.17,3.74,2.8,1.52,2.15,1.86,3.74,1.51,2.57,0.26,1.05,1.19,1.91,2.14,2.25,3.1,2,0.6,0.92,2.29,1.59,0.84,1.65,1.69,2.69,0.7,2.25,0.54,2.46,3.11,0.78,0.53,2.52,2.19,1.13,3.54,0.97,1.41,0.78,1.68,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.14,0.76,1.37,1.51,1.35,1.98,0.81,0.11,1.3,1.75,1.31,2.27,0.49,0.55,0.56,2.38,3.28,1.45,1.49,2.02,1.36,1.2,1.25,1.64,1.41,1.05,2.38,1.76,1.28,2.65,2.08,2.91,1.64,3.79,0.93,2.2,0.4,0.63,1.3,1.63,0.73,0.01,1.47,3.08,1.73,0.21,0.37,2.34,1.11,1.53,4.49,1.04,1.18,1.03,2.86,1,1.63,1.22,1.2,0.43,2.75,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.24,3.41,0.29,1.72,0.45,1.03,0.81,1.18,0.72,0.3,1.72,2.15,3.07,0.72,4.14,1.22,1.28,2.46,1.52,1.46,1.82,1.4,1.97,1.52,0.72,0.63,2.97,1.99,1.2,0.62,0.86,1.39,1.15,0.75,1.18,1.12,1.28,1.36,2.86,1.4,2.52,1.48,1.03,0.38,1.07,1.94,3.08,4.13,1.27,0.68,0.86,2.65,1.15,3.22,1.32,2.81,1.83,0.97,2.8,3.25,0.95,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.2,1.51,0.4,2.8,0.69,0.2,2.44,1.79,3.05,2.44,1,1.03,1.77,0.6,0.94,0.64,1.65,2.06,1.65,1.74,0.43,2.14,1.88,0.83,1.84,1.58,2.81,3.31,2.35,2.33,1.5,0.73,3.14,1.67,1.33,2.68,1.62,1.18,1.78,2.3,0.62,0.84,0.91,0.25,1.49,1.08,0.75,1.77,1.3,2.3,1.43,2.41,0.86,1.55,0.81,1.84,0.66,2.62,3.04,1.51,2.28,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.24,1.76,2.59,2.25,3.69,1.47,4.38,0.87,2.27,1.91,3.35,1.08,2.57,1.09,2.06,1.42,1.04,3.03,0.57,3.31,0.85,0.92,3.01,1.8,0.62,2,0.71,2.52,4.69,2.77,0.88,0.65,1.26,1.73,0.55,2.51,4.09,2.39,1.15,4.33,1.92,3.18,1.66,0.93,2.09,0.7,0.32,1.12,2.82,1.73,0.99,1.28,2.13,3.42,1.59,2,0.99,3.19,1.4,1.82,2.48,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.78,1.55,4.07,2.52,0.73,2.63,1.45,2.18,0.68,3.05,5.19,2.15,2.5,2.94,1.3,1.76,2.61,0.85,0.42,1.19,0.79,2.43,2.47,1.68,1.35,2.75,1.22,0.98,2.45,5.22,2.45,1.55,2.93,2.08,1.39,2.63,0.94,0.87,1.98,1.72,1.93,1.73,2.81,0.78,1.98,0.48,1.59,2.33,1.92,1.31,2.3,0.95,3.54,6.4,0.86,3.29,3.81,2.03,0.86,4.95,1.84,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.43,2.97,3.18,3.7,1.54,4.74,1.56,2.58,4.3,3.38,1.57,2.73,1.37,0.81,0.17,4.77,2.61,4.24,0.24,0.6,1.2,3.67,2.27,1.99,2.05,6.24,1.41,3.23,1.2,3.78,4.88,2.29,2.65,3.56,3.89,0.1,1.69,0.93,2.92,4.3,4.11,2.23,2.74,2.34,1.94,4.78,1.01,0.8,0.93,1.53,1.96,2.13,1.88,4.16,3.78,1.25,0.55,1.82,2.91,3.25,1.7,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.11,2.45,3.78,3,2.03,1.76,2.82,4.87,2.34,2.76,4.08,0.43,2.57,2.1,0.63,4.28,3.16,1.86,4.81,0.87,1.23,0.62,1.5,2.17,1.11,1.32,1.39,3.02,5.79,4.61,1,4.7,1.87,0.8,1.76,2.39,1.17,0.99,2.3,1.21,2.03,3.4,2.51,2.4,4.18,5.03,2.38,2.07,1.39,1.27,3.35,1.61,4.02,3.46,2.51,3.25,0.88,1.77,2.74,2.18,1.95,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.4,0.68,2.56,1.57,0.59,1.3,2.74,3.66,1.38,2.57,3.18,1.22,1.66,2.33,2.15,0.59,2.63,1.86,2.77,3.12,1.55,4.4,0.69,2.49,3.01,2.07,5.08,1.79,0.96,2.71,5.06,1.91,1.78,3.52,2,3.86,1.25,2.6,1.31,1.69,0.26,0.87,2.83,1.1,1.77,0.92,5.85,1.9,0.32,2.09,0.36,1.39,1.87,2.02,1.12,2.02,1.13,0.69,1.43,1.94,0.91,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.84,2.25,3.32,2.98,2.43,4.76,2.26,6.31,1.51,3.01,1.57,0.92,2.42,1.99,1.35,7.07,1.54,1.78,2.89,1.07,3.47,0.81,3.73,2.48,2.59,3.94,0.97,1.38,1.83,0.61,5.1,2.26,5.62,1.87,1.4,4.99,3.65,1.58,0.8,3.41,1.57,6.28,3.31,3.62,2.3,2.5,3.36,0.62,2.46,3.14,2.15,1.81,1.73,5.73,1.13,1.49,4.19,3.7,1.82,4.58,2.72,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
