COKER-COURT-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST537123 ,Long,-2.65913,Lat,50.90874,Elevation,255,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.98,1.32,5.17,6.18,0.8,3.43,1.21,0.71,3.3,6.12,5.27,3.13,5.26,1.92,3.42,4.05,4.09,3.95,5.36,1.73,7.33,2.85,4.38,3.68,3.3,0.66,5.16,6.73,3.21,5.53,2.02,3.94,3.99,7.85,1.87,1.73,,,,,
February,4.67,1.34,3.45,1.21,5.65,6.9,6.26,1.31,1.78,2.94,0.82,0.25,2.92,8.95,0.71,4.55,1.75,4.63,2.23,1.26,0.84,2.41,0.03,4.34,0.26,3.19,3.21,5.87,1.13,2.08,3.81,3.83,0.24,1.6,0.33,2.24,,,,,
March,0.71,2.22,6.38,3.42,5.12,0.64,2.92,2.9,1.22,4.69,3.23,2.49,3.23,1.67,1.75,0.86,0.65,5.07,2.59,0.37,2.24,1.18,2.13,4.02,2.83,1.23,3.7,4.05,0.23,1.5,2.49,2.97,2.43,0.94,0.5,1.08,,,,,
April,2.53,2.05,0.18,3.54,1.21,1.66,0.77,2.43,2,2.53,4.91,0.91,3.64,2.29,3.49,2.89,2.7,1.59,1.61,1.06,2.97,3.06,2.89,1.06,3.1,3.99,1.68,1.97,0.17,2.02,1.83,2.73,2.23,0.8,1.21,2.43,,,,,
May,1.57,1.38,1.16,2.83,1.62,2.64,2.79,1.91,1.47,0.71,1.78,2.23,0.42,1.52,5.6,3.81,2.64,1.44,1.59,3,1.73,3.14,5.61,2.22,1.18,1.5,0.89,2.85,2.68,0.64,1.52,5.24,4.68,3.14,1.78,3.48,,,,,
June,3.38,2.2,4.34,0.8,5.24,1.42,1.47,2.64,1.2,0.83,1.67,0.43,0.79,0.44,2.64,0,2.57,2.56,2.69,2.31,0.45,2.65,2.68,1.84,0.88,4.06,2.21,1.31,1.59,2.49,0.49,2.75,0.5,1.12,2.24,3.05,,,,,
July,3.03,0.1,2.75,0.42,3.06,4.61,0.69,3.98,5.26,3.03,5.18,0.74,4.63,0.99,4.23,2.7,3.36,3,1.82,1.66,2.15,3.75,2.54,1.79,0.34,0.42,6.25,2.47,3.63,7.07,2.88,2.25,1.65,3.97,2.33,1.46,,,,,
August,4.47,1.14,7.05,2.33,2.5,2.15,7.2,7.14,2.14,3.62,2.33,1.59,4.53,2.45,3.47,3.29,1.78,3.54,2.54,1.69,3.71,3.09,1.05,2.14,3.11,2.84,0.12,1.58,2.86,2.52,0.08,3.11,4.97,2.99,3.5,2.54,,,,,
September,0.33,1.9,1.55,2.99,1.47,2.02,3.13,1.7,5.98,2.13,1.61,0.68,2.57,3.25,5.7,4.07,0.69,5.62,1.75,0.64,3.69,1.7,4.76,2.92,3.38,3.92,2.79,3.33,1.58,1.07,1.82,1.28,2.05,3.49,2.44,2.62,,,,,
October,4.98,3.02,4.68,4.57,2.61,5.98,7.08,3.51,1.7,2.17,2.62,1.08,1.74,5.93,5.93,4.29,3.54,2.52,7.24,5.26,3.04,0.6,7.26,2.76,2.98,4.41,1.51,4.72,3.49,4.33,5.36,1.4,3.42,4.5,5.58,4.04,,,,,
November,4,3.95,2.27,3.79,4.6,2.71,6.35,0.96,3.58,1.87,1.53,2.17,2.57,2.76,3.94,3.45,10.27,2.98,3.87,10.78,5.18,7.03,3.23,0.64,1.9,7.6,3.19,1.8,5.87,6.54,7.83,2.17,1.48,1.81,6.06,1.68,,,,,
December,8.12,10.9,4.91,2.4,8.88,7.67,3.59,0.9,3.6,5.53,3.31,1.5,4.31,3.81,6.43,4.52,0.48,3.96,2.74,8.99,3.66,1.59,2.28,0.79,9.05,5.91,5.21,4.37,4.77,2.09,3.38,1.75,5.85,2.84,3.46,5.28,,,,,
Total,40.77,31.52,43.89,34.48,42.76,41.83,43.46,30.09,33.23,36.17,34.26,17.2,36.61,35.98,47.31,38.48,34.52,40.86,36.03,38.75,36.99,33.05,38.84,28.2,32.31,39.73,35.92,41.05,31.21,37.88,33.51,33.42,33.49,35.05,31.3,31.63,,,,,
