STAUNTON ON WYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO548124,Long,-2.656,Lat,51.809,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.05,3.33,6.14,3.53,2.46,4.39,2.26,4.59,1.68,2.42,0.39,1,2.57,6.17,4.09,2.51,4.23,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.08,1.43,3.25,1.44,3.21,2.41,2.88,1.52,1.32,3.99,4.24,3.61,2.81,4.37,3.96,4.52,1.5,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.77,1.15,2.28,2.79,0.98,1.45,3.17,2.34,1.25,1.19,1.57,2.07,1.1,1.28,2.99,1.55,3.1,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,0.34,2.36,3.16,1.43,1.59,1.11,2.54,3.18,3.03,2.26,1.59,0.84,3.48,1.1,1.22,3.33,2.09,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,5.36,1.13,0.91,1.31,2.15,1.2,2.41,0.42,3.2,5.15,3.46,2.67,1.18,2.26,1.47,0.78,2.66,7.42,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.68,0.31,2.41,3.44,2.2,0.98,3.86,1.17,1.69,2.71,6.26,4.02,1.99,2.73,3.66,2.36,2.23,1.42,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.27,1.05,3.02,5.45,2.39,1.43,4.95,0.73,3.08,1.11,2.4,4.87,1.17,3.13,4.16,2.45,0.13,1.51,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.05,0.97,1.82,2.49,2.3,3.01,2.7,2.23,5.06,5.98,4.44,0.3,4.69,2.26,1.13,1.73,2.4,1.24,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.29,1.14,5.19,1.81,1.43,4.64,4.55,5.63,2.44,3.09,3.45,1.84,1.85,2.61,4.63,1.36,3.99,2.03,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.95,5.08,3.31,4.15,1.83,3.65,6.31,3.93,2.4,4.65,0.97,5.93,2.58,4.87,3.26,0.98,3.77,4.58,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
