OTTERY-ST-MARY-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY098956,Long,-3.27911,Lat,50.75353,Elevation,200,ft,,,,,,,,,,,,
Station no,RR7436,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.52,4.66,1.04,4.88,7.76,0.69,3.51,1.1,1.15,4.06,
February,,,,,,,,,,0.4,4.99,1.4,4,1.07,4.74,7.24,6.46,1.21,1.76,
March,,,,,,,,,,6.53,0.87,2.71,6.21,3.85,5.45,0.54,3.89,4.48,1.7,
April,,,,,,,,,,2.94,2.99,2.29,0.21,4.06,1.58,1.04,0.74,1.79,1.91,
May,,,,,,,,,,1.85,3.04,0.89,2.18,3.89,1.83,1.59,2.43,2.01,1.96,
June,,,,,,,,,,2.93,2.41,1.92,6.25,0.52,1.63,2.16,1.8,2.04,1.26,
July,,,,,,,,,,3.19,3.2,0.43,2.5,0.48,5.72,3.52,1.46,2.25,4.31,
August,,,,,,,,,,2.53,5.05,0.76,7.75,1.55,2.9,3.05,5.48,5.8,2.86,
September,,,,,,,,,,1.99,0.4,1.6,1.82,2.52,2.76,1.01,2.65,1.92,6.15,
October,,,,,,,,,,6.52,4.51,4.19,4.92,3.96,3.65,6.72,5.93,3.85,1.69,
November,,,,,,,,,,1.07,5.12,4.09,1.66,4.57,3.62,2.67,5.8,1.69,3.46,
December,,,,,,,,,,5.89,7.97,11.8,5.18,2.22,8.62,7.4,3.9,1.18,4,
Total,,,,,,,,,,37.36,45.21,33.12,47.56,36.45,43.19,40.45,41.64,29.37,35.12,
,,,,,,,,,,,,,,,,,,,,
1909 Dec Inspection Gauge well placed in garden,,,,,,,,,,,,,,,,,,,,
