OTTERY ST MARY MANOR HOUSE,,,,,,,,,,,,
Grid ref,SY098956,Long,-3.280028,Lat,50.752966,,,,,,,
Station no,RR7436,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.52,,
February,,,,,,,,,,0.40,,
March,,,,,,,,,,6.53,,
April,,,,,,,,,,2.94,,
May,,,,,,,,,,1.85,,
June,,,,,,,,,,2.93,,
July,,,,,,,,,,3.19,,
August,,,,,,,,,,2.53,,
September,,,,,,,,,,1.99,,
October,,,,,,,,,,6.52,,
November,,,,,,,,,,1.07,,
December,,,,,,,,,,5.89,,
Total,,,,,,,,,,37.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
