SWINDON-PEN-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU151883,Long,-1.7834168,Lat,51.593349,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.73,1.38,2.75,0.87,2.92,2.56,0.94,4.01,3.81,3.73,4.16,4.37,2.02,2.17,4.81,3.36,2.66,4.57,2.49,3.63,1.41,3.52,0.51,2.02,1.66,2.99,3.13,2.22,4.2,1.64,0.76,0.69,3.02,2.15,0.65,1.65,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.42,1.61,1.14,2.36,0.28,0.62,1.25,2.59,4.09,1.79,2.08,2.78,1.62,1.46,2.3,1.29,1.84,1.94,2.9,1.61,1.39,4,3.2,3.37,1.69,3.51,1.7,2.69,0.8,0.81,0.81,1.63,0.74,0.02,0.88,2.77,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.87,2.6,2.27,2.44,4.97,0.74,2.62,1.08,1.52,3.12,1.94,1.27,1.8,1.94,2.43,2.49,0.89,0.95,3.93,1.45,1.61,1,2.07,1.35,2.08,0.98,1.76,1.07,1.62,1.9,3.68,2.3,0.97,1.49,0.53,0.33,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.61,2.31,1.1,0.55,2.62,1.4,1.37,1.07,2.27,2.53,2.44,1.12,0.55,3.44,2.31,0.64,1.27,1.9,2.72,2.64,2.52,3.12,2.05,0.58,3.6,0.77,1.41,1.68,2.02,0.95,1.77,2.54,1.53,1.07,0.78,0.06,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.35,1.59,3.23,1.87,4.22,1.48,1.7,2.33,0.88,3.28,1.05,4.88,0.98,1.16,2.44,2.12,1.33,2.52,0.45,2.39,5.01,3.72,1.05,2.36,1.97,2.09,1.11,2.14,3.75,1.69,1.07,2.21,2.09,2.96,1.09,1.48,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.71,2.55,6.08,3.68,3.07,3.82,1.44,2.29,3.97,2.56,0.59,1.75,0.32,2.81,2.74,1.67,0.71,3.03,1.88,0.86,2.18,4.73,1.96,2.31,3.88,2.66,3.22,2.01,0.97,1.44,2.48,0.95,2.49,1.65,2.07,1.36,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.24,1.5,1.38,3.6,2.22,0.75,0.73,2.93,1.46,3.25,1.67,0.91,2.71,3.27,4.43,2.6,0.57,5.14,0.52,,1.65,3.28,4.42,1.73,3.24,3.12,2.92,0.19,3.14,0.83,3.66,3.21,3.84,2.92,2.79,3.55,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.42,3.52,4.62,0.89,1.36,3.38,0.76,3.89,2.34,2.29,4.36,1.41,2.49,1.63,1.95,2.45,1.9,0.76,2.4,3.3,4.95,6.54,1.24,4.75,2.5,1.28,1.45,2.01,1.54,1.67,1.91,1.89,1.99,5.6,3.09,1.42,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.17,3.14,2.83,2.16,2,3.11,2.37,0.24,5.32,1.78,3.79,4.91,0.83,6.51,1.28,2.09,3.67,2.55,5.68,2.5,1.94,2.42,3.54,1.54,2.93,2.95,1.36,4.32,2.24,2.6,1.4,1.25,1.48,1.48,2.56,1.24,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.4,2.58,1.74,1.31,4.15,4,1.81,4.76,1.66,3.1,2.2,1.61,3.03,1.45,3.22,2.8,2.96,7.33,1.41,1.99,3.91,0.95,5.05,1.39,6.81,1.97,1.17,3.49,3.93,2.16,0.96,2.5,1.5,6.14,2.87,4.15,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
