WINCHESTER-SAINT-CROSS-(FRONT-ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU475280,Long,-1.32309,Lat,51.05001,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,0.23,1.65,1.01,3.05,1.24,3.44,4.06,0.57,4.83,1.28,1.38,3.83,5.31,3.48,3.15,4.73,1.68,2.74,2.98,,,,,
February,,,,,,,,1.58,1.25,0.44,4.43,1.81,2.77,2.04,5.01,6.18,5.26,1.2,1.9,2.87,0.82,0.2,2.88,5.6,0.44,3.66,,,,,
March,,,,,,,,0.92,3.54,4.26,0.83,2.48,3.95,3.16,4.45,1.04,3.25,2.21,0.91,5.92,1.97,1.48,2.35,1.76,1.27,0.47,,,,,
April,,,,,,,,4.28,2.08,1.64,3.1,1.51,0.05,3.04,1.34,1.1,0.59,2.28,2.64,2.21,3.28,1.15,3.57,3.07,2.91,2.87,,,,,
May,,,,,,,,2.28,1.5,1.38,1.68,2.23,1.23,2.73,1.42,4.53,1.66,1.56,2.05,0.44,1.05,1.74,0.88,2.22,3.18,3.24,,,,,
June,,,,,,,,1.5,0.82,4.7,2.58,1.51,4.75,-999,0.34,1.25,1.92,4.57,1.54,0.9,2.42,0.04,1.3,0.43,2.17,0,,,,,
July,,,,,,,,1.21,1.88,1.73,1.85,0.15,2.19,-999,-999,4.21,1.31,-999,-999,,,,,,,2.77,,,,,
August,,,,,,,,,4.33,,2.27,0.45,6.68,1.32,-999,1.55,3.56,-999,-999,,,,,,,3.83,,,,,
September,,,,,,,,0.49,1.8,3.17,0.14,1.15,2.77,3.24,1.27,3.02,2.37,2.38,7.07,4.51,1.38,0.85,2,2.24,4.88,,,,,,
October,,,,,,,,6.42,1.2,7.59,4.21,4.27,3.78,4.2,2.01,3.44,6.25,5.04,1.02,0.86,3.93,0.8,1.34,5.87,3.95,,,,,,
November,,,,,,,,2.78,1.33,0.58,3.16,3.78,1.92,3.55,3.81,3.26,4.7,0.93,3.41,2.05,1.66,2.28,1.94,1.98,2.61,2.2,,,,,
December,,,,,,,,4.79,2.99,3.94,,8.67,4.25,2.08,9.62,7.57,3.97,1.52,2.98,5.88,2.45,1.55,4.39,3.2,5.04,2.98,,,,,
Total,,,,,,,,,24.37,,,29.25,37.78,31.35,34.63,41.98,36.12,30.26,35.32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12b Front St ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 June July bracketed Combined total 1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 July Aug bracketed Combined total 4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 July Aug bracketed Combined total 7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 July Aug bracketed Combined total 7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Sept Oct Partly estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
