WINCHESTER-SAINT-CROSS-(MEADWAY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU473278,Long,-1.32569,Lat,51.04814,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.48,5.08,2.46,3.13,2.52,2.74,0.84,5.5,6.63,3.63,5.44,2.36,2.89,3.08,5.37,,,2.55,2.99,6.15,1.07,
February,,,,,,,,,,0.91,1.01,2.32,0.08,4.71,0.08,3.89,2.75,5.82,0.83,1.76,3.04,2.93,0.41,1.4,,,3.06,1.33,1.28,1.74,
March,,,,,,,,,,0.05,1.34,0.53,2.14,3.93,3.28,0.99,2.36,3.58,0.33,1.08,2.72,4.17,2.64,0.53,,,1.17,5.54,0.75,1.53,
April,,,,,,,,,,0.84,2.78,3.55,3.65,1.38,2.45,3.9,2.38,2.42,0.04,1.87,0.95,2.13,1.99,0.86,,,2.31,2.51,1.98,,
May,,,,,,,,,,1.82,2.31,2.85,6.23,1.96,1.19,1.01,0.38,2.55,1.86,1.16,0.52,1.64,3.03,3.28,,,2.59,1.1,2.71,,
June,,,,,,,,,,1.58,0.48,2.33,2.23,3.26,1.7,4.17,2.94,1.96,0.7,2.03,0.34,1.61,0.26,1.89,,,4.64,1.72,3.13,,
July,,,,,,,,,,1.78,2.13,3.97,3.55,2.01,0.97,2.36,3.48,0.97,2.9,4.65,3.37,2.2,1.63,2.55,,,1.26,1.75,1.09,,
August,,,,,,,,,2.32,1.92,3.4,4.72,1.47,1.01,3.33,2.74,0.34,1.83,1.8,1.59,0.06,3.7,3.04,1.73,,,5.52,0.72,5.02,,
September,,,,,,,,,1.35,0.28,3.06,2.15,3.53,3,1.95,4.09,4.19,1.9,1.27,1.01,1.91,0.48,2.22,1.49,,,5.32,1.34,2.7,,
October,,,,,,,,,7.58,4.26,2.1,0.7,5.35,2.18,1.63,4.63,1.46,4.34,3.35,5.13,3.74,1.54,4.06,4.24,,,1.16,0.68,2.01,,
November,,,,,,,,,2.86,9.54,5.55,3.85,1.94,0.72,2.27,7.34,3.57,2.33,4.67,5.87,8.1,3.01,1.76,1.57,,,5.6,1.65,1.74,,
December,,,,,,,,,3.33,7.23,3.79,0.79,1.32,0.79,10.21,4.03,3.57,4,4.13,1.94,1.64,1.87,4.26,2.08,,,3.45,2.89,5.92,,
Total,,,,,,,,,,31.69,33.03,30.22,34.62,27.47,31.8,39.99,32.92,38.33,25.51,33.53,28.75,28.17,28.38,26.99,,,38.63,24.22,34.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadway Mead Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Dec 5 Gauge moved 100yds S to Beaufort House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is part way between Meadway and Beaufort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Gauge moved 0.5 miles NNE to Melrose Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed Only one year here so deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge returned to Meadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
