WISTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 95586 32244,Long,-3.657538,Lat,55.57263,Elevation,860,ft,,,,,,,,,,,,
Station no,RR4361,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,2.7,,6.8,6.6,4.1,4.3,2.1,17,6,1.6,0.9,0.9,2.5,6.4,9.5,4,6.3,3.5,3.5,3.3
February,3,,3.5,1.7,2.3,2.1,4.1,5.1,2.2,1.5,5.3,2,3.5,5.5,6.2,4.4,2.4,2,1,1.5
March,0.6,,3,2.5,3,2.2,4.4,2.5,1.7,4.2,3.1,2.5,4.8,2.6,3.1,2.3,6,1,3.3,2.5
April,1.1,,1.3,2,3.2,1.2,2.3,3.1,1.5,1.4,6.3,1.6,3,1.9,1,2.7,1.7,1.9,1.9,1.9
May,3.2,,3.2,3,2.2,2.3,1,2.9,3.4,2.6,1,3,2,1,4,3.4,4.2,1.2,3,2.6
June,2.2,,4.4,2,1.4,4.1,3.6,3.2,2.8,4.1,2,3.7,3.7,1.1,0.7,0.7,0.8,0.9,1.5,0.9
July,2.3,,3.7,4.6,2.9,2.65,2.1,4.3,0.8,4.3,4.2,5.3,5.2,3.5,5.5,1.7,3.3,4,4.1,3.4
August,2.2,,4.2,5,6.4,2.4,4.3,5.9,5.9,6,0.6,5.4,6,4.6,1.1,2,1.6,2,3.5,5
September,2.5,,6.7,7.2,3.7,7.3,2.1,3.8,5.2,4.3,4.2,2.2,3.3,6.7,3.9,7.2,4,4.5,7,1.5
October,3.8,,4.3,7,5.9,5.2,3.8,4.6,4.6,5.5,2.1,2.6,3.4,7.4,3.3,4,10.5,2.5,4,3.5
November,1.2,,7.4,1.7,4.5,4,2.8,6.2,2.1,0.8,6.7,6,5,5,2.3,4.6,2.6,5.1,8,6
December,2,,6.4,4.2,1.2,4.2,6.3,4.9,2,6.3,3.2,6.5,6.9,4.6,5,1.7,4.2,4.6,4,6
Total,26.8,,54.9,47.5,40.8,41.95,38.9,63.5,38.2,42.6,39.6,41.7,49.3,50.3,45.6,38.7,47.6,33.2,44.8,38.1
,,,,,,,,,,,,,,,,,,,,
1880?,,,,,,,,,,,,,,,,,,,,
"1888? Sept 5"" too large",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4361,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
