"BO'NESS NEIDPATH COTTAGE",,,,,,,,,,,,
Grid ref,NT002811,Long,-3.602307,Lat,56.012402,,,,,,,
Station no,RR4619,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.80,1.67,1.61,5.97,2.15,0.91,3.40,1.04,3.20,3.24,,
February,2.50,0.70,1.13,5.39,2.63,1.15,1.49,2.02,1.20,0.90,,
March,0.90,1.88,1.50,5.78,1.28,2.79,2.65,2.30,3.30,2.57,,
April,1.54,1.65,0.71,0.82,2.70,1.13,0.61,0.95,1.00,2.67,,
May,1.37,1.50,1.70,1.51,2.43,0.81,4.09,3.05,1.95,2.00,,
June,2.95,1.82,2.28,1.55,1.15,0.25,1.15,3.25,0.78,1.59,,
July,3.80,0.97,3.25,3.95,1.83,1.73,1.40,2.20,2.77,2.40,,
August,3.34,2.90,2.18,3.43,4.06,1.92,4.53,3.35,1.97,2.21,,
September,2.50,1.03,1.37,1.52,1.82,1.40,0.84,0.37,3.90,1.65,,
October,4.00,2.06,1.40,5.81,0.79,2.12,4.80,6.25,1.35,3.82,,
November,4.25,2.29,1.14,1.44,0.88,3.50,3.36,1.48,2.25,1.21,,
December,4.30,2.71,2.80,1.42,3.54,2.40,1.65,3.90,1.29,3.48,,
Total,35.25,21.18,21.07,38.59,25.26,20.11,29.97,30.16,24.96,27.74,,
Calc annual,35.25,21.18,21.07,38.59,25.26,20.11,29.97,30.16,24.96,27.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
