BO'NESS NEIDPATH COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT002811,Long,-3.602307,Lat,56.012402,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.8,1.67,1.61,5.97,2.15,0.91,3.4,1.04,3.2,3.24,,1.14,1.5,2.87,2.56,1.53,3.07,1.31,2.97,2.71,3.65,4.87,3.23,2.15,3.1,3.28,4,,7.55,,
February,2.5,0.7,1.13,5.39,2.63,1.15,1.49,2.02,1.2,0.9,,3.55,2.18,1.82,2.47,2.57,3.1,0.58,3.56,1.73,3.75,0.91,2.19,3.71,0.68,2.8,3.96,,3.95,,
March,0.9,1.88,1.5,5.78,1.28,2.79,2.65,2.3,3.3,2.57,1.52,1.77,3,3.05,3.34,0.92,2.38,1.91,0.82,1.84,2.82,3.57,1.47,0.95,0.92,1.68,1.54,,3.27,,
April,1.54,1.65,0.71,0.82,2.7,1.13,0.61,0.95,1,2.67,2.35,1.14,0.25,2.53,1.05,1.15,2.81,1.55,0.69,1.45,1.19,0.72,1.62,2.63,1.38,2.87,1.65,,1.48,,
May,1.37,1.5,1.7,1.51,2.43,0.81,4.09,3.05,1.95,2,1.22,1.19,0.85,1.39,2.05,1.1,2.29,1.93,2.48,0.46,2.54,1.69,1.26,0.55,5.52,4.58,2.55,,1.76,,
June,2.95,1.82,2.28,1.55,1.15,0.25,1.15,3.25,0.78,1.59,0.9,1.1,3.26,2.25,0.35,1.53,2.41,1.81,0.27,1.28,1.28,0.05,1.48,0.87,2.38,0.33,2.18,,5.08,,
July,3.8,0.97,3.25,3.95,1.83,1.73,1.4,2.2,2.77,2.4,3.73,1.53,2.1,0.62,2.73,2.4,3.85,2.1,2.81,0.78,2.3,1.7,2.98,2.89,2.75,1.4,3.24,,1.63,,
August,3.34,2.9,2.18,3.43,4.06,1.92,4.53,3.35,1.97,2.21,5.13,1.1,3.1,0.66,2.27,3.45,3.37,4.56,1.89,2.1,4.95,4.35,1.6,4.65,3.11,1.98,1.41,,3.92,,
September,2.5,1.03,1.37,1.52,1.82,1.4,0.84,0.37,3.9,1.65,0.57,1,2.12,2.25,0.57,2.05,1.39,1.1,4.47,1.93,1.74,1.54,1.95,2.63,3.18,2.97,3.28,,2.67,,
October,4,2.06,1.4,5.81,0.79,2.12,4.8,6.25,1.35,3.82,1.76,2.81,2.76,0.95,1.53,2.95,4.28,3.25,3.34,1.54,0.96,3.45,1.1,2.67,2.71,2.35,4.42,,4.35,,
November,4.25,2.29,1.14,1.44,0.88,3.5,3.36,1.48,2.25,1.21,3.18,4.17,2.28,3.26,3.56,1.37,2.15,4.1,2.33,4.15,1.78,1.85,1.65,2.42,1.87,0.73,5.24,,3.9,,
December,4.3,2.71,2.8,1.42,3.54,2.4,1.65,3.9,1.29,3.48,1.54,2.66,5.26,2.21,5.07,4.48,2.86,1.96,1.56,3.74,4.14,3.66,2.66,2.54,3.79,2.58,0.54,,3.23,,
Total,35.25,21.18,21.07,38.59,25.26,20.11,29.97,30.16,24.96,27.74,,23.16,28.66,23.86,27.55,25.5,33.96,26.16,27.19,23.71,31.1,28.36,23.19,28.66,31.39,27.55,34.01,,42.79,,
