"LERWICK, MONTFIELD",,,,,,,,,,
Grid ref,HU 47114 41307,Long,-1.153202,Lat,60.153535,Elevation,60,ft,,
Station no,RR4,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,7.47,2.14,6.07,,,
February,,,,,3.25,3.76,2.73,,,
March,,,,,4.84,4.49,1.52,,,
April,,,,,1.91,1.6,2.9,,,
May,,,,,3.18,2.24,3.11,,,
June,,,,,1.73,2.23,2.32,,,
July,,,,,2.07,1.67,4.01,,,
August,,,,,2.86,2.08,1.43,,,
September,,,,,3.99,5.33,3.52,,,
October,,,,,6.49,3.5,3.37,,,
November,,,,,5.62,3.84,5.11,,,
December,,,,,7.69,4.89,6.15,,,
Total,,,,,51.1,37.77,42.24,,,
,,,,,,,,,,
BR 1884 P,,,,,,,,,,
BR 1885 P,,,,,,,,,,
BR 1886 P,,,,,,,,,,
,,,,,,,,,,
Station no,RR4,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
