KILDALE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ610095,Long,-1.060,Lat,54.477,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.35,0.46,3.47,1.07,1.89,0.83,2.00,3.00,3.87,3.84,2.05,3.80,0.92,6.62,1.90,4.50,4.61,4.58,3.00,1.96,2.28,2.00,3.20,2.07,4.06,3.10,4.33,2.49,1.88,3.73,1.82,3.58,5.14,4.81,2.98,5.02,1.46,3.49,4.07,4.23,1.64,5.25,1.62,3.07,7.57,1.00,1.38,2.54,2.94,1.03,2.80,2.24,3.81,2.12,3.05,2.49,6.70
February,,2.47,1.57,2.17,1.66,2.00,1.73,3.01,1.02,1.90,1.18,2.59,4.97,4.42,0.93,1.56,1.91,1.11,0.49,1.91,5.59,2.53,5.02,2.02,1.36,1.64,1.17,2.07,2.10,1.85,4.94,2.30,4.16,4.63,3.33,1.78,1.68,2.62,4.47,1.50,0.99,3.44,1.60,1.06,5.50,1.35,0.87,4.55,4.45,1.07,2.33,2.68,2.96,3.28,3.69,3.42,0.65,3.48
March,,2.14,1.96,2.35,0.78,3.32,4.87,1.03,2.83,3.84,3.18,2.37,2.11,6.05,3.25,1.64,5.48,3.79,1.82,3.41,1.62,,2.94,1.13,2.44,3.22,0.36,3.36,2.05,2.97,1.91,2.96,0.75,1.85,4.43,0.24,4.39,2.46,2.95,1.24,0.55,1.19,0.57,1.28,4.22,1.73,1.73,1.28,3.92,2.06,0.26,2.24,2.71,0.58,1.12,3.59,1.20,1.43
April,,1.64,3.17,1.13,3.06,3.94,2.53,4.04,1.40,0.22,3.89,0.71,1.24,2.54,3.62,2.65,2.49,4.24,1.68,2.52,2.08,2.26,4.14,1.46,3.19,2.08,1.52,4.63,5.18,1.16,1.05,4.43,3.25,2.20,3.40,0.41,2.02,3.42,2.27,1.05,1.16,1.92,2.54,2.12,4.66,1.11,2.57,2.19,2.29,1.56,2.34,0.13,1.48,1.43,0.81,1.94,3.33,0.80
May,,4.56,1.42,4.93,4.08,1.92,1.71,2.33,0.85,2.28,1.86,2.71,1.99,3.22,1.22,2.12,0.93,2.12,2.08,2.70,4.41,5.71,2.66,2.77,2.16,2.05,1.70,1.83,2.35,8.14,4.00,1.18,1.70,2.14,2.97,4.14,2.99,1.44,1.67,2.48,2.61,2.03,2.59,2.66,2.75,1.59,1.07,2.05,6.79,1.39,1.61,4.20,2.75,0.69,1.24,3.11,0.91,1.53
June,5.35,1.58,1.16,1.27,2.99,0.97,4.96,2.35,5.47,4.44,1.69,4.61,0.86,3.10,2.08,0.78,1.92,0.57,0.79,2.80,1.51,3.01,1.46,3.91,3.90,5.91,2.19,2.18,4.67,1.56,1.95,2.12,3.03,5.56,2.10,2.66,4.16,1.70,0.88,2.23,1.23,3.50,2.57,2.19,2.77,7.65,0.64,2.69,2.41,1.42,3.70,2.51,2.41,4.66,2.87,3.56,2.00,0.61
July,4.93,4.10,1.28,1.43,2.71,2.77,3.63,3.48,0.89,7.05,1.82,8.42,4.80,2.12,1.51,5.12,3.76,8.01,1.73,6.15,3.04,4.29,2.74,4.63,3.41,1.45,2.78,12.15,4.73,4.89,3.24,2.36,0.50,4.33,1.63,4.18,3.45,9.50,2.67,5.29,1.60,2.83,2.17,4.70,3.52,1.85,1.96,3.90,2.92,2.10,3.27,1.54,1.30,4.59,4.71,3.05,3.10,7.19
August,2.36,3.34,3.22,2.59,2.29,3.12,5.36,4.70,2.65,5.25,2.45,1.56,3.31,2.54,7.86,2.76,3.68,2.42,5.51,3.58,4.48,3.63,3.96,2.49,7.26,4.85,3.13,3.95,2.32,3.03,0.60,3.15,2.17,2.88,1.74,3.93,3.42,2.13,3.97,2.04,3.16,4.56,5.44,5.45,0.21,3.97,2.54,5.21,6.86,2.58,2.22,9.64,1.14,9.23,4.17,3.20,0.52,2.92
September,3.50,2.08,3.82,0.72,0.66,2.16,3.96,1.65,2.83,2.53,1.76,2.19,2.30,1.90,0.73,5.46,1.28,1.65,1.03,4.07,3.02,2.27,4.22,1.81,6.96,1.37,0.86,4.27,8.95,3.58,2.31,1.52,5.33,4.33,2.56,2.36,3.15,1.55,1.02,2.98,3.60,5.62,2.13,3.64,2.12,1.59,0.86,3.20,1.48,8.62,2.27,1.58,1.55,2.22,3.97,2.30,1.25,3.67
October,9.10,0.62,4.15,6.55,5.58,1.50,3.29,4.36,2.78,3.29,3.70,3.57,2.26,4.10,3.48,2.96,9.16,2.51,1.87,2.76,3.11,4.26,3.83,3.70,3.01,4.23,3.60,2.33,1.92,4.78,5.10,3.37,3.79,2.11,2.62,3.76,6.07,3.87,5.66,3.65,1.54,3.42,3.08,1.05,0.61,1.42,2.51,1.78,2.84,5.13,3.00,4.70,3.37,2.00,2.52,1.85,1.76,10.65
