"ROUNDWOOD, KNOCKATEMPLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2153001293,Long,-6.1882532,Lat,53.048721,Elevation,760,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,7.45,10.89,6.9,5.6,6.33,8.63,5.53,5.16,7.2,5.01,5.8,7.92,4.01,,,,,,,,,,,,,,,,,,,,,,,,,3.85,5.5,5.37,5.72,1.98,5.1,3.65,2.05,6,0.73,2.41,1.4,3.56,1.47,7.52,9.46,1.86,3.13,2.31,1.33,4.45,5.39,5.97,3.54,5.72,2.09,7.79,,,,,,
February,,7.75,2.85,0.88,1.75,3.64,2.25,4.32,2.89,4.33,4.3,5.45,7.82,3.8,,,,,,,,,,,,,,,,,,,,,,,,,1.86,6.3,7.83,1.11,3,1.94,4.65,0.79,3,1.75,1,0.84,5.69,2.72,6.66,2.25,6.04,7.38,5.27,1.15,4.26,4.35,2.24,1,2.7,10.24,1.96,,,,,,
March,,3.8,5.12,3.89,5.14,2.86,2.84,4.32,3.49,4.06,7.01,3.25,7.42,4.75,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.55,0.96,4.1,1.94,5.2,4.2,4.26,2.3,1.65,3.87,5.57,2.73,1.82,5.39,3.72,4.24,0.86,5.35,4.76,2.35,2.55,4.1,3.11,2.48,3.18,1.16,,,,,,
April,,2.74,4.2,1.06,0.44,1.87,2.06,4.16,3.33,2.53,0.66,5.12,5.41,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5,4.12,1.85,2.93,3.75,1.09,1.6,3.5,1.83,4.3,3.2,5.59,2.59,3.22,1.76,4.86,1.42,1.81,2.59,0.94,2.37,1.84,5.56,1.09,3.9,5.14,3.12,,,,,,
May,,0.76,3.6,1.1,0.58,5.34,1.38,7.35,2.48,9.54,3.86,0.46,3.54,1.67,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.6,3.12,1.37,3.01,2.9,0.54,0.76,4.05,5.2,2.6,1.11,1.85,1.38,1.78,6.46,1.85,3.41,5.21,4.05,2.58,1.96,3.45,2.54,0.93,1.81,4.35,,,,,,
June,,3.76,5.01,2.51,0.75,1.53,4.85,1.06,1.6,1.21,0.72,2.92,4.3,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.5,3.42,3.15,3.12,2.2,4.45,2.05,1.35,4.1,1.68,3.81,5.25,2.57,5.15,1.75,1.91,1.73,2.59,1.5,1.95,1.7,1.91,0.8,1.06,0.66,4.07,,,,,,
July,,7.6,6.44,1.27,1,4.5,1.21,4.67,1.27,1.08,0.61,4.66,0.84,3.92,,,,,,,,,,,,,,,,,,,,,,,,,1.1,3.25,3.71,2.22,4.43,4.37,2.45,1.6,0.95,1.9,2.54,2.25,2.29,3.13,5.08,0.48,3.98,6.44,1.18,1.86,3.65,0.86,6.59,4.1,3.51,1.99,4,,,,,,
August,,6.13,3.02,4.86,1.83,4.74,2.98,1.94,4.03,1.07,2.82,2.14,5.17,4.01,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.97,5.69,2.96,4.9,4.35,2.65,10.65,2.1,2.46,2.32,0.98,6.46,1.89,7.62,1.67,3.12,1.77,2.54,9.76,1.36,3.44,2.53,3.67,6.89,5.4,2.64,,,,,,
September,,5.04,4.01,4.57,4.06,0.66,5,3.23,12.16,6.65,2.72,5.84,3.07,2.57,,,,,,,,,,,,,,,,,,,,,,,,,1.98,2.32,0.86,6.11,3.25,5.18,2.5,2.81,0.65,0.79,6.55,1.64,0.89,1.93,1.06,3.67,1.63,1.88,2.43,1.42,6.55,2.97,1.25,1.79,4,3.1,7.29,,,,,,
October,,3.78,3.74,9.22,10.43,2.1,4.33,2.86,2.41,2.62,9.36,3.31,6.88,3.64,,,,,,,,,,,,,,,,,,,,,,,,,7.21,3.2,3.85,4.04,3.75,4.25,1,1.15,6.47,9.21,3.88,6.47,3.42,6.41,3.27,8.13,3.15,8.57,9.27,3.65,4.03,2.2,9.12,2.77,1.86,4.33,3.1,,,,,,
November,,6.29,4.56,4.3,9.9,5.4,3.08,1.35,3.96,2.72,2.99,3.47,6.6,4.72,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.96,7.83,4.07,8.65,3.9,1.23,5.6,2.95,3.3,3.09,1.63,5.21,6.77,1.81,5.5,5.91,5.89,8.71,2.51,4.3,4.85,4.49,5.38,0.95,3.4,5.11,,,,,,
December,,4.73,5.46,3.74,3.79,11.98,3.87,2.23,10.76,6.39,2.77,2.57,10.65,0.64,,,,,,,,,,,,,,,,,,,,,,,,,3.5,6.57,4.34,4.49,2.77,5.65,2.85,3.8,3.17,4.15,3.81,5.66,11.95,11.44,4.1,1.92,11.58,8.18,4.07,2.78,5.15,7.28,4.49,3.74,3.87,2.73,5.32,,,,,,
Total,,59.83,58.9,44.3,45.27,50.95,42.48,43.02,53.54,49.4,42.83,44.99,69.62,35.91,,,,,,,,,,,,,,,,,,,,,,,,,41.81,43.84,48.83,42.27,44.55,46.13,31.77,39.02,34.82,39.54,36.95,36.95,51.89,44.75,51.2,49.87,46.69,51.05,51.52,35.71,43,39.39,51.7,33.53,37.87,44.07,49.91,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 July/August corrected for date of reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
