"ROUNDWOOD, KNOCKATEMPLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1149,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.97,3.54,5.72,2.09,7.79,,,,,,,
February,2.24,1.00,2.70,10.24,1.96,,,,,,,
March,4.10,3.11,2.48,3.18,1.16,,,,,,,
April,5.56,1.09,3.90,5.14,3.12,,,,,,,
May,3.45,2.54,0.93,1.81,4.35,,,,,,,
June,1.91,0.80,1.06,0.66,4.07,,,,,,,
July,6.59,4.10,3.51,1.99,4.00,,,,,,,
August,2.53,3.67,6.89,5.40,2.64,,,,,,,
September,1.25,1.79,4.00,3.10,7.29,,,,,,,
October,9.12,2.77,1.86,4.33,3.10,,,,,,,
November,4.49,5.38,0.95,3.40,5.11,,,,,,,
December,4.49,3.74,3.87,2.73,5.32,,,,,,,
Total,51.70,33.53,37.87,44.07,49.91,,,,,,,
Calc annual,51.70,33.53,37.87,44.07,49.91,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,
