NEWPORT-FROBISHER-ROAD,,,,,,,,,,
Grid ref,ST336875,Long,-2.9597036,Lat,51.58243,Elevation,28,ft.,,
Station no,4009/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.22
February,,,,,,,,,,3.54
March,,,,,,,,,,2.3
April,,,,,,,,,,2.61
May,,,,,,,,,,1.6
June,,,,,,,,,,1.79
July,,,,,,,,,,4.45
August,,,,,,,,,,5.23
September,,,,,,,,,,5.03
October,,,,,,,,,,8.56
November,,,,,,,,,,8.16
December,,,,,,,,,,5.94
Total,,,,,,,,,,54.43
,,,,,,,,,,
MIDS src_id 10878 NEWPORT: FROBISHER ROAD Start 1960 end 1999,,,,,,,,,,
NGR is from the 1950s record and is near Frobisher Road. Altitudes match.,,,,,,,,,,
