"NEWPORT (FROBISHER ROAD)",,,,,,,,,,,,
Grid ref,ST336875,Long,-2.959704,Lat,51.582430,,,,,,,
Station no,4009/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.22,,
February,,,,,,,,,,3.54,,
March,,,,,,,,,,2.30,,
April,,,,,,,,,,2.61,,
May,,,,,,,,,,1.60,,
June,,,,,,,,,,1.79,,
July,,,,,,,,,,4.45,,
August,,,,,,,,,,5.23,,
September,,,,,,,,,,5.03,,
October,,,,,,,,,,8.56,,
November,,,,,,,,,,8.16,,
December,,,,,,,,,,5.94,,
Total,,,,,,,,,,54.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
