"GOSPORT",,,,,,,,,,,,
Grid ref,SZ598998,Long,-1.152904,Lat,50.794689,,,,,,,
Station no,674,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,2.61,1.14,1.35,3.67,4.97,2.21,4.06,3.05,3.99,,
February,6.28,0.61,1.15,2.71,1.66,0.09,3.91,2.72,0.22,2.82,,
March,4.38,2.69,0.44,3.31,1.21,0.32,1.74,1.15,2.25,1.91,,
April,2.58,1.64,1.38,0.34,0.37,1.70,0.07,0.68,2.03,0.81,,
May,2.27,2.06,2.65,2.21,4.06,0.25,1.00,2.70,0.21,1.49,,
June,1.21,1.31,1.74,2.74,2.86,1.83,1.84,3.28,0.46,1.91,,
July,1.99,0.39,3.30,3.65,1.65,1.89,3.90,2.06,1.55,2.58,,
August,4.92,2.15,1.79,2.59,1.25,3.15,2.18,3.81,2.29,5.32,,
September,3.04,5.46,2.78,2.67,1.72,3.56,2.98,4.34,0.18,5.99,,
October,1.54,3.62,3.69,2.25,2.61,1.71,1.98,2.65,2.62,8.35,,
November,8.74,4.40,1.95,5.92,2.02,0.75,2.70,2.22,3.44,6.28,,
December,3.29,2.64,0.72,3.35,4.66,5.59,2.19,3.87,7.74,4.58,,
Total,43.68,29.58,22.73,33.09,27.74,25.81,26.70,33.54,26.04,46.03,,
Calc annual,43.68,29.58,22.73,33.09,27.74,25.81,26.70,33.54,26.04,46.03,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
