GLENLUCE (DUNRAGIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX152587,Long,-4.88281,Lat,54.88878,Elevation,341,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5008/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.74,1.31,7.13,6.28,4.96,3.6,6.13,5.67,8.36,3.15,2.57,4.82,4.33,1.86,4.24,3.76,4.51,3.51,5.31,2.07,4.55
February,,,,,,,,,,3,3.29,2.99,,1.86,4.85,3.23,0.75,2.03,2.47,4,2.61,0.96,1.91,3.99,3.59,1.24,2.76,4.65,1.87,3.16
March,,,,,,,,,,4.31,2.41,4.78,,0.58,2.15,2.22,5.29,2.13,2.87,2.52,3.03,2.36,0.5,3.95,1.49,1.56,4.06,1.36,2.02,2.74
April,,,,,,,,,,1.86,1.97,2.43,,2.64,1.93,1.31,3.61,1.47,3.62,2.8,1.42,1.62,1.81,1.18,2.99,1.32,1.32,1.5,2.77,2.99
May,,,,,,,,,,2.02,3.02,2.56,3.37,2.24,3.26,0.87,4.28,1.41,0.83,1.96,2.72,2.37,2.9,2.34,3.23,1.18,2.44,2.44,0.9,1.9
June,,,,,,,,,,1.35,0.59,0.78,3.22,5.1,3.83,2.6,4.03,4.2,1.07,3.37,1.84,3.24,0.95,3.55,4.12,3.11,1.95,3.92,2.34,2.24
July,,,,,,,,,4.19,4.34,4.16,3.57,1.85,4.6,2.55,3.31,3.03,2.93,2.07,3.2,2.43,2.89,6.78,4.9,1.47,4.4,3.62,4.37,2.34,5.29
August,,,,,,,,,1.81,1.49,5.64,4.45,5.81,3.46,1.2,4.32,0.53,3.84,4.65,5.51,5.6,5.9,3.38,4.03,1.71,7.4,3.48,4.86,0.72,4.81
September,,,,,,,,,3.85,4.47,3.37,4.22,,5.53,3.4,5.42,3.52,4.33,2.51,8.66,3.34,3.57,6.07,6.02,3.39,4.06,5.31,5.19,2.4,4.11
October,,,,,,,,,3.81,5.59,4.87,4.71,,6.1,4.23,0.31,1.78,5.56,5.62,3.96,0.79,3.91,3.04,7.87,2.55,2.98,5.15,3.82,5.8,4.79
November,,,,,,,,,6.91,6.66,3.84,0.89,,6.48,0.65,5.96,6.72,4.87,4.61,4.67,8.83,3.43,6.99,7.9,3.66,1.77,2.09,2.86,5.44,5.49
December,,,,,,,,,3.42,4.89,1.76,4.05,,4.61,5.27,5.24,2.44,4.88,4.95,2.34,6.01,4.21,4.43,5.97,4.89,3.66,4.92,5.37,7.14,5.12
Total,,,,,,,,,,44.72,36.23,42.56,,48.16,36.92,40.92,41.65,46.01,38.42,45.56,43.44,38.79,40.62,55.94,36.85,37.19,40.61,45.65,35.81,47.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 no records Sept-Dec; Feb 2.10; March 0.7; Apr 2.2 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
