"GLENLUCE (DUNRAGIT)",,,,,,,,,,,,
Grid ref,NX152587,Long,-4.882810,Lat,54.888780,,,,,,,
Station no,5008/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.82,4.33,1.86,4.24,3.76,4.51,3.51,5.31,2.07,4.55,,
February,2.61,0.96,1.91,3.99,3.59,1.24,2.76,4.65,1.87,3.16,,
March,3.03,2.36,0.50,3.95,1.49,1.56,4.06,1.36,2.02,2.74,,
April,1.42,1.62,1.81,1.18,2.99,1.32,1.32,1.50,2.77,2.99,,
May,2.72,2.37,2.90,2.34,3.23,1.18,2.44,2.44,0.90,1.90,,
June,1.84,3.24,0.95,3.55,4.12,3.11,1.95,3.92,2.34,2.24,,
July,2.43,2.89,6.78,4.90,1.47,4.40,3.62,4.37,2.34,5.29,,
August,5.60,5.90,3.38,4.03,1.71,7.40,3.48,4.86,0.72,4.81,,
September,3.34,3.57,6.07,6.02,3.39,4.06,5.31,5.19,2.40,4.11,,
October,0.79,3.91,3.04,7.87,2.55,2.98,5.15,3.82,5.80,4.79,,
November,8.83,3.43,6.99,7.90,3.66,1.77,2.09,2.86,5.44,5.49,,
December,6.01,4.21,4.43,5.97,4.89,3.66,4.92,5.37,7.14,5.12,,
Total,43.44,38.79,40.62,55.94,36.85,37.19,40.61,45.65,35.81,47.19,,
Calc annual,43.44,38.79,40.62,55.94,36.85,37.19,40.61,45.65,35.81,47.19,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
