MARKET-LAVINGTON-SCHOOL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU0141454268,Long,-1.981112,Lat,51.287542,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.81,3.68,5.64,1.71,1.59,2.79,2.47,5.12,0.93,0.36,3.13,2.18,0.74,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.92,0.56,1.08,0.76,2.15,2.33,1.44,0.98,1.53,5.32,4.94,0.67,1.47,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,3.3,1.88,0.65,0.32,1.07,0.77,5.73,0.77,1.06,1.05,3.67,3.05,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.15,1.6,0.52,1.59,0.85,2.22,2.1,1.63,1.39,2.88,3.14,1.84,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.56,4.73,3.02,0.35,2.19,3.84,2.48,3.88,2.19,1.97,3.1,5.19,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,2.74,0.5,1.63,1.95,3.42,2.51,1.55,2.16,0.44,1.36,0.56,1.45,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,1.53,1.61,2.11,2.58,1.35,0.76,2.26,0.83,1.19,4.84,1,0.61,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,3.86,4.47,3.02,2.85,1.99,4.94,0.79,3.22,1.4,2.86,4.36,4.14,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,1.25,1.59,1.71,2.55,2.46,4.11,1.43,2.76,1.66,3.95,2.56,2.42,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,1.74,4.03,3.59,4.04,3.25,1.41,0.45,3.55,6.56,1.27,0.78,4.29,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,2.1,1.63,1.75,5.49,0.41,4.95,1.69,1.68,3.27,5.94,6.79,3.82,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,1.58,1.61,4.25,2.02,2.75,3.54,2.72,2.66,4.4,1.49,1.97,2.56,2.61,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,26.57,30.53,26.74,26.94,24.27,33.35,25.05,30.98,23.11,33.77,36.59,32.27,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Old House adjoins the School House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School House record commences Dec 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
record ends 1954 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Chestnut Cottage commencing 1954 Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
