"DETLING THE CROFT",,,,,,,,,,,,
Grid ref,TQ795582,Long,0.573155,Lat,51.294633,,,,,,,
Station no,365,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.97,0.66,0.98,2.21,3.41,0.96,3.26,1.38,1.46,0.96,,
February,4.83,1.72,1.46,1.34,2.53,1.02,1.82,1.80,1.43,1.00,,
March,1.13,2.96,1.50,2.11,2.08,2.37,1.96,0.84,2.28,3.75,,
April,1.55,1.70,0.36,2.46,0.94,2.88,1.12,2.73,2.58,1.77,,
May,1.08,1.06,2.95,3.16,1.64,1.20,2.07,2.82,1.70,1.45,,
June,3.19,0.87,2.35,6.18,1.21,5.52,3.41,2.42,1.20,3.12,,
July,1.65,2.73,1.79,6.17,2.81,0.78,1.52,1.24,2.91,4.01,,
August,3.26,2.29,3.30,3.10,1.47,2.07,0.56,2.26,3.55,2.22,,
September,0.92,1.26,1.35,1.98,1.26,2.37,1.80,0.66,1.19,3.38,,
October,1.94,2.45,2.42,5.55,2.24,1.39,4.00,4.16,1.90,6.80,,
November,3.03,0.83,2.01,2.55,1.52,4.07,5.92,1.91,1.16,1.19,,
December,2.73,3.96,1.99,1.56,2.97,0.70,2.50,2.36,2.50,3.47,,
Total,29.28,22.49,22.46,38.37,24.08,25.33,29.94,24.58,23.86,33.12,,
Calc annual,29.28,22.49,22.46,38.37,24.08,25.33,29.94,24.58,23.86,33.12,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
