MAIDSTONE-BOXLEY-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ774594,Long,0.543663,Lat,51.30607,Elevation,319,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,366/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.14,1.71,2.16,1.53,4.69,5.47,2.87,4.35,1.89,2.75,2.13,4.97,1.25,2.48,1.54,2.19,3.39,1.04,1.48,2.34,1.96,1,1.7,3.02,4.39,2.08,2.47,1.98,2.8
February,,0.82,1.59,0.35,3.57,1.97,4.08,1.04,1.53,1.51,2.06,0.81,1.42,1.45,1.42,2.78,1.36,1.9,0.95,3.89,5.73,0.9,1.19,1.87,1.98,0.79,3.43,2.35,0.06,1.9
March,,1.51,2.42,2.68,0.3,1.14,4.64,0.54,1.65,3.36,1.75,2.74,0.3,0.09,1.53,1.35,4.56,0.71,0.88,0.96,3.53,4.15,0.18,2.23,1.32,0.59,0.88,0.98,1.77,1.87
April,,2.2,0.98,2.16,2.97,2.07,2.51,0.45,2.8,1.89,2.59,1.21,1.55,1.44,1.18,2.56,1.27,1.3,1.43,2.17,2.32,0.69,2.2,0.33,0.26,1.19,0.21,1.63,2.47,0.66
May,,3.63,2.14,0.79,2.72,0.24,2.74,2.86,2.05,1.28,1.71,3.76,3.1,0.54,2.38,3.12,1.52,2.21,1.84,1.95,2.02,0.72,2.39,1.9,3.87,0.22,1.71,1.89,0.98,2.36
June,,0.84,1.53,1.2,1.93,4.78,2.35,0.48,1.19,0.74,2.24,0.45,1.69,1.29,0.74,1.86,2.48,4.08,0.41,0.97,1.25,0.99,1.83,3.89,2.25,2.28,1.32,3.97,1.06,1.46
July,,2.22,2.58,1.75,1.27,3.32,1.54,1.55,1.48,3,3.6,2.79,1.67,2.71,2.21,2.09,3.56,1.72,0.6,2.93,2.69,0.85,2.7,2.4,4.3,4.08,2.89,1.63,1.71,3.34
August,,0.83,0.57,1.39,3.09,1.13,1.34,1.41,2.5,0.14,4.23,2.68,1.29,3.11,2.45,5.22,0.03,3.3,1.05,2.3,3.58,3.22,1.7,3.43,1.59,2.6,2.35,4.57,0.99,3.86
September,,1.95,3.66,1.62,3.08,2.06,2.75,2.64,1.05,0.97,0.37,2.8,1.74,2.97,1.03,2.62,1.05,1.59,1.02,2.66,3.85,3.43,3.06,1.3,2.09,2.38,2.71,3.16,0.23,3.48
October,,5.44,1.94,1.83,3.52,2.99,2.59,2.49,9.36,3.54,1.37,3.73,3.08,4.76,2.06,2.37,0.52,1.5,7.02,0.12,0.97,2.33,2.86,1.73,4.68,1.49,1.15,2.72,2.62,7.23
November,,1,1.52,2.59,5.07,4.66,1.49,2.82,4.5,6.8,3.88,1.86,1.67,4.57,0.47,4.72,1,1.51,2.82,5.45,4.29,4.78,1.33,5.84,0.84,0.87,3.4,1.72,3.57,4.96
December,,0.52,0.74,5.76,3.43,2.41,4.3,3.15,1.41,1.7,2.01,2.22,2.12,1.65,4.08,2.31,2.64,3.22,1.1,2.03,2.14,2.42,0.77,1.7,1.88,2.72,3.12,3.27,4.82,3.27
Total,,23.1,21.38,24.28,32.48,31.46,35.8,22.3,33.87,26.82,28.56,27.18,24.6,25.83,22.03,32.54,22.18,26.43,20.16,26.91,34.71,26.44,21.21,28.32,28.08,23.6,25.25,30.36,22.26,37.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
