ROTHERHAM-BROOM-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK447913,Long,-1.3289222,Lat,53.416618,Elevation,284,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3131/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.31,2.72,3.58,2,4.62,2.43,4.19,2.07,3.48,2.47,2.04,2.11,2.3,4.41,0.71,1.07,1.77,1.98,0.45,1.59,2.26,3.76,0.97,2.21,2.68,4.43
February,,,,,2.79,2.72,3.34,1.01,0.84,2.4,3.26,1.05,0.85,1.98,1.5,2.4,2.96,1.67,0.73,4.42,2.73,0.32,1.8,2.37,2.86,1.48,1.98,4.24,0.05,2.43
March,,,,,1.48,1.69,2.66,0.18,1.99,1.49,4.48,1.44,0.65,0.65,0.48,1.36,4.41,0.6,1.05,1,2.52,1.54,0.82,1.59,2.46,0.75,1.14,1.68,1.05,1.73
April,,,,,1.82,1.27,2.2,0.08,1.84,2.01,1.51,0.96,1.31,1.94,1.2,1.04,2.2,0.92,2.12,2.08,0.78,1.27,1.75,0.26,0.46,2.59,0.13,0.46,2.82,0.59
May,,,,,0.33,1.29,2.91,2.04,1.57,1.03,1.93,2.54,1.97,1.93,1.82,2.78,1.7,1.39,1.12,1.59,3.28,1.56,1.84,4.21,2.29,0.35,1.18,2.03,0.91,1.3
June,,,,,2.64,3.22,1.53,1.72,2.07,0.67,0.2,1.11,1.18,2.02,2.02,3.14,2.49,2.25,0.7,1.41,0.48,1.34,1.48,1.49,2.8,3.12,1.54,4.91,1.17,1.13
July,,,,,0.63,3.91,2.69,3.23,5.28,4.33,3.58,1.58,0.96,2.13,2.13,3.22,1.82,0.94,3.69,1.27,1.59,2.2,2.32,1.72,0.62,3.85,3.29,6.03,0.95,2.42
August,,,,,2.74,1.65,0.18,2.85,2.6,0.28,2.85,3.93,1.53,2.87,3.33,4.27,0.58,4.45,1.16,3.09,4.94,0.91,1.8,6.33,0.41,4.68,5.04,1.57,0.78,3.18
September,,,,,3.95,2.13,1.66,2.09,1.98,0.75,0.44,1.23,3.34,3.35,1,3.04,1.02,1.22,0.81,2.61,1.43,1.94,1.24,1.28,1.18,3.04,3.18,2,0.01,4.27
October,,,,,2.92,2.18,3.02,3.8,3.19,4.2,3.01,2.15,1.4,2.41,3.63,0.93,0.49,1.34,2.87,0.76,1.01,3.84,1.74,2.67,1.61,1.06,0.98,1.57,1.83,5.97
November,,,,1.88,4.97,2.61,1.71,2.58,3.61,5.25,3.23,1.55,1.89,4.32,0.32,4.78,1.38,1.09,3.22,4.58,5.48,1.35,1.27,4.77,2.01,0.55,2.47,0.59,3.68,3.53
December,,,,3.47,2.58,1.7,3.56,3.07,2.19,1.89,0.57,1.28,0.76,1.54,1.18,2.38,2.2,2.78,2.24,1.48,1.7,1.38,1.17,2.4,2.06,2.49,1.95,3,2.87,2.18
Total,,,,,28.16,27.09,29.04,24.65,31.78,26.73,29.25,20.89,19.32,27.61,20.65,31.45,23.55,23.06,20.42,25.36,27.71,19.63,17.68,30.68,21.02,27.72,23.85,30.29,18.8,33.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Broom Lane with the stated relationship to the church and station. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1950s record, and MIDAS, have an NGR of SK435923, which is 1.5km WNW and not on Broom Lane and is 100 ft. too low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
