CODNOR-CROSS-HILL-WESTFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK416485,Long,-1.3811296,Lat,53.032172,Elevation,394,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.75,3.14,2.12,5.76,1.44,4.48,2.35,2.33,2.61,2.69,1.43,3.89,4.2,2.99,6.1,2.42,3.69,2.66,4.14,3.17,1.96,,,,,
February,,,,,,3.35,2.92,2.13,3.22,0.33,0.74,3.41,0.65,2.8,0.63,3.29,2.44,4.26,0.94,1.68,3.5,2.96,1.31,0.75,2.99,2.87,,,,,
March,,,,,,0.79,1.01,2.64,2.81,0.1,2.74,0.47,2.1,2.44,2.25,0.87,2.04,2.45,0.15,2.13,2.68,3.26,1.87,0.77,0.31,0.75,,,,,
April,,,,,,1.98,1.59,2.1,0.91,1.19,3.43,4.23,2.97,1.22,2.3,3.62,2.25,2.47,0.15,2.04,1.95,2.01,1.32,0.98,2.56,2.09,,,,,
May,,,,,,4.25,3.07,1.14,1.17,2.3,2.02,3.03,7.13,2.17,1.26,0.44,0.4,2.67,2.44,1.26,1.24,2.86,3.83,3.72,1.26,2.15,,,,,
June,,,,,,0.06,2.58,4.8,3.47,1.29,1.14,4.41,1.18,2.52,0.73,4.42,3.38,0.66,1.65,1.9,0.85,0.4,1,1.61,1.71,2.87,,,,,
July,,,,,,1.44,2.15,5.02,1.42,1.43,6.25,4.46,3.55,2.36,1.69,0.87,4.79,2.86,5.56,5.81,2.64,3.39,2.49,1.15,3.18,2.4,,,,,
August,,,,,,2.68,2.36,3.88,3.8,2.68,2.58,4.55,1.93,0.73,1.63,2.79,1.31,0.69,2.39,2.78,0.37,4.18,2.42,2.23,3.06,2.49,,,,,
September,,,,,,4.04,0.91,4.51,0.7,0.51,4.99,3.93,1.97,0.8,2.11,6.61,2.99,1.42,3.03,1.47,0.77,0.18,1.83,2.29,5.44,1.55,,,,,
October,,,,,,4.48,2.13,3.07,5.29,3.59,3.4,0.68,3.64,5.68,1.58,5.36,2.31,2.53,3.63,3.07,4.72,3.17,1.93,2.3,2.75,4.43,,,,,
November,,,,,,2.24,4.47,3.11,3.77,6.52,3.74,4.56,2.16,1.68,1.92,5.9,3.26,1.51,3.99,4.8,8.61,3.57,1.15,2.31,5.64,0.4,,,,,
December,,,,,,2.14,1.21,3.09,2.26,4.89,2.79,1.53,1.13,0.44,5.97,4.48,2.24,3.19,4.52,2.25,2.25,1.16,2.18,1.04,1.88,1.59,,,,,
Total,,,,,,30.2,27.54,37.61,34.58,26.27,38.3,37.61,30.74,25.45,24.76,40.08,31.3,28.91,31.44,35.29,32,30.83,23.99,23.29,33.95,25.55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is "" up the hill"" from previous location at stated altitude. Cannot locate Westfiled. NGR could be +/- 200m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
