BATH HAMPSTEAD COMBE PARK,,,,,,,,,,,,
Grid ref,ST729655,Long,-2.390841,Lat,51.387890,,,,,,,
Station no,RR6860,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,2.36,1.50,3.90,2.81,0.55,4.40,1.23,1.53,1.18,,
February,5.90,0.82,0.83,1.89,3.53,0.90,1.91,-999.00,1.41,0.62,,
March,1.37,2.37,1.72,4.02,1.33,3.71,1.83,0.85,2.84,3.15,,
April,1.12,2.79,1.42,2.97,1.62,2.43,1.14,3.60,2.76,2.51,,
May,2.41,1.21,2.05,4.54,2.29,0.04,1.87,2.85,1.32,1.59,,
June,1.74,2.08,2.94,4.35,1.55,3.85,2.56,2.78,0.50,3.43,,
July,1.37,3.52,1.67,3.01,2.32,0.51,0.82,5.66,2.45,2.47,,
August,3.24,1.82,2.93,4.02,2.53,3.91,2.20,2.24,3.88,2.90,,
September,0.69,2.82,1.47,2.45,1.29,1.72,0.98,0.62,2.26,2.66,,
October,3.06,1.66,1.96,6.79,0.80,1.47,4.67,5.31,1.51,4.67,,
November,2.60,0.86,2.41,2.09,1.78,2.77,2.65,1.66,0.91,1.28,,
December,6.35,5.97,2.33,2.70,2.04,0.98,1.77,4.66,2.92,4.65,,
Total,33.19,28.28,23.23,42.73,23.89,22.84,26.80,32.89,24.29,31.11,,
Calc annual,33.19,28.28,23.23,42.73,23.89,22.84,26.80,31.46,24.29,31.11,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,1.43,0.00,0.00,,
