ORTON-SANDY-HILL-FARM,,,,,,,,,,
Grid ref,SP794795,Long,-0.83422283,Lat,52.407754,Elevation,400,ft,,
Station no,RR8255,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.84,2.07,1.89,0.65,4.14,1.05,,
February,,,1.91,1,2.91,0.51,1.98,1.01,,
March,,,1.29,2.95,1.48,2.57,2.41,0.99,,
April,,,1.73,1.99,1.11,1.79,0.47,2.71,,
May,,,1.87,2.28,2.08,0.94,1.37,4.72,,
June,,,2.36,2.22,0.83,3.72,3.74,1.93,,
July,,,0.93,2.34,,2.64,0.71,2.88,,
August,,,3,3.73,3.36,2.99,1.08,2.29,,
September,,,1.94,2.93,3.31,1.95,1.06,0.48,,
October,,,2.08,6.06,0.65,1.07,4.32,4.47,,
November,,0.8,1.82,1.49,1.2,2.94,3.57,2.71,,
December,,3.79,1.11,1.04,1.59,0.81,2.83,3.59,,
Total,,,20.88,30.1,,22.58,27.68,28.83,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1904 Jul estimated,,,,,,,,,,
