DYMCHURCH (HOORNES),,,,,,,,,,,,,,,,,,,,,
Grid ref,TR107299,Long,1.0034752,Lat,51.029832,Elevation,9,ft,,,,,,,,,,,,,
Station no,RR4124,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.24,1.26,1.75,2.24,2.5,2.17,3.81,1.1,2.87,2.79,1.56,2.71,2.78,1.43,4.21,4.65,3.67,5.12,
February,,,1.6,3.52,0.64,2.97,2.81,3.53,1.13,0.68,1.28,1.91,0.37,1.55,0.09,3.3,1.74,4.69,0.9,1.16,
March,,,1.58,1.75,1.48,0.96,0.34,2.44,1.44,0.11,1.96,0.58,1.54,1.48,2.45,0.21,0.85,3.38,0.66,1.99,
April,,,2.42,1.17,2.54,2.47,2.68,1.39,2.22,0.8,1.45,2.65,2.18,1.04,1.87,3.32,1.68,2.37,0.46,2.52,
May,,,0.45,2.88,2.8,2.23,1.27,0.68,2,1.7,3.65,1.7,2.22,1.49,0.83,1.65,0.23,3.14,2.42,0.81,
June,,,0.94,0.48,1.36,0.16,2.56,4.98,2.09,1.49,1.02,0.58,1.47,2.33,1.17,2.15,2.05,1.28,0.82,1.29,
July,,,1.36,0.89,2.78,2.56,1.47,4.62,1.06,1.24,2.97,1.99,3.68,0.86,1.13,0.17,4.08,1,2.04,1.84,
August,,1.81,2.6,1.22,2.45,1.22,1.46,3.68,1.2,2.38,2.1,3.4,0.5,0.72,1.86,5.16,1.05,1.49,2.48,1.6,
September,,0.38,3.35,1.95,1.97,2.5,0.49,3.55,0.4,0.83,3.2,1.75,1.8,5.32,1.31,3.81,2.55,1.79,1.72,1.18,
October,,0.17,1.94,5.85,3.38,3.07,2.97,1.24,6.88,3.78,1.59,0.79,8.5,1.9,1.9,4.21,1.95,2.18,3.2,10.53,
November,,2.02,1.24,2.12,2.73,2.99,5.99,3.24,4.2,5.99,5.6,4.15,0.99,1.07,2.67,5.41,3.85,1.23,2.88,5.1,
December,,1.61,2.51,2.95,3.44,3.8,0.81,4.63,2.69,7.81,3.09,0.62,0.31,0.44,6.33,3.36,1.88,3.83,2.81,1.67,
Total,,,23.23,26.04,27.32,27.17,25.35,36.15,29.12,27.91,30.78,22.91,25.12,20.91,24.39,34.18,26.12,31.03,24.06,34.81,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Slieve Truim 1940,,,,,,,,,,,,,,,,,,,,,
