STONOR-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU740893,Long,-0.93304055,Lat,51.597693,Elevation,400,ft,,,,,,,,,,,,
Station no,RR6480,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,0.75,2.16,1.31,3.03,3.07,,,,,
February,,,,,,,,,,,4.2,3.28,2.07,4.78,1.55,,,,,
March,,,,,,,,,,,1.29,2.32,1.27,0.89,2.1,,,,,
April,,,,,,,,,,,2.34,0.94,4.65,1.24,1.84,,,,,
May,,,,,,,,,,,0.45,1.47,1.92,2.08,0.61,,,,,
June,,,,,,,,,,,4.02,2.23,4.31,1.72,3.02,,,,,
July,,,,,,,,,,,9.3,2.24,3.14,2.3,3.03,,,,,
August,,,,,,,,,,4.25,0.64,6.15,2.19,1.08,0.74,,,,,
September,,,,,,,,,,3.21,4.87,2.57,3.1,7.12,2.66,,,,,
October,,,,,,,,,,0.95,6.04,2.55,6.34,1.88,1.58,,,,,
November,,,,,,,,,,0.65,2.76,3.82,3.61,3.59,1.25,,,,,
December,,,,,,,,,,0.8,4.05,3.65,4.02,0.79,4.05,,,,,
Total,,,,,,,,,,,40.71,33.38,37.93,30.5,25.5,,,,,
