LOCH VENACHAR,,,,,,,,,,,,
Grid ref,NN598064,Long,-4.263116,Lat,56.229417,,,,,,,
Station no,5513,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.94,4.40,2.59,6.39,3.74,4.18,9.24,7.07,3.06,5.35,,
February,3.97,1.54,2.20,5.68,3.77,1.88,4.25,2.51,2.17,4.67,,
March,3.66,6.09,1.72,4.17,2.56,3.03,7.13,1.82,4.83,3.33,,
April,4.10,2.39,3.04,2.44,3.67,1.57,2.64,1.89,5.25,5.40,,
May,1.56,2.20,2.92,5.30,3.84,3.17,3.91,4.70,1.36,4.35,,
June,3.04,3.58,2.93,3.75,2.98,3.41,2.31,3.13,2.72,3.58,,
July,4.01,3.09,6.65,4.16,1.33,6.77,5.20,5.81,6.40,4.46,,
August,6.90,5.30,3.94,7.11,1.20,6.38,5.02,7.31,2.09,4.60,,
September,5.25,1.96,5.68,7.83,4.59,7.76,3.48,5.71,1.44,4.31,,
October,1.59,5.15,3.29,10.00,4.77,3.82,5.71,5.76,5.80,5.22,,
November,7.85,2.33,7.46,9.50,2.98,1.58,1.67,2.46,7.29,7.10,,
December,8.95,5.74,6.98,8.43,9.55,7.61,8.13,6.52,10.70,7.47,,
Total,56.82,43.77,49.40,74.76,44.98,51.16,58.69,54.69,53.11,59.84,,
Calc annual,56.82,43.77,49.40,74.76,44.98,51.16,58.69,54.69,53.11,59.84,,
Difference,-0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
