WEST LINTON - old gauge,,,,,,,,,,
Grid ref,NT147517,Long,-3.360546,Lat,55.751124,Elevation,800,ft,,
Station no,RR7379,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,4.61,4.29
February,,,,,,,,,2.57,2.72
March,,,,,,,,,5.24,3.74
April,,,,,,,,,1.91,2.86
May,,,,,,,,,2.95,2.96
June,,,,,,,,,1.64,
July,,,,,,,,,3.15,
August,,,,,,,,,3.1,3.01
September,,,,,,,,,5.43,3.09
October,,,,,,,,8.23,1.18,6.27
November,,,,,,,,2.55,2.63,1.69
December,,,,,,,,4.95,1.25,4.61
Total,,,,,,,,,35.66,
