WEST LINTON RECTORY,,,,,,,,,,,,
Grid ref,NT147517,Long,-3.360546,Lat,55.751124,,,,,,,
Station no,RR7379,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,4.40,,
February,,,,,,,,,,2.68,,
March,,,,,,,,,,3.68,,
April,,,,,,,,,,2.54,,
May,,,,,,,,,,2.80,,
June,,,,,,,,,,1.84,,
July,,,,,,,,,,4.44,,
August,,,,,,,,,,2.88,,
September,,,,,,,,,,2.96,,
October,,,,,,,,,,6.03,,
November,,,,,,,,,,1.63,,
December,,,,,,,,,1.20,4.63,,
Total,,,,,,,,,,40.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,40.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
