WEST LINTON RECTORY - new gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,NT147517,Long,-3.360546,Lat,55.751124,Elevation,800,ft,,,,,,,,,,,,
Station no,RR7379,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,4.4,3.81,2.15,2.43,3.09,,,,,,
February,,,,,,,,,,2.68,4.38,5,2.21,1.86,,,,,,
March,,,,,,,,,,3.68,1.78,2.76,3.26,3.83,,,,,,
April,,,,,,,,,,2.54,3.58,3.1,0.79,2.78,,,,,,
May,,,,,,,,,,2.8,2.24,2.23,1.69,2.38,,,,,,
June,,,,,,,,,,1.84,1.78,3.47,5.04,2.7,,,,,,
July,,,,,,,,,,4.44,4.05,1.35,2.27,0.82,,,,,,
August,,,,,,,,,,2.88,4.74,2.04,3.96,1.72,,,,,,
September,,,,,,,,,,2.96,0.97,1.56,3.76,2.22,,,,,,
October,,,,,,,,,,6.03,3.39,3.82,3.68,2.26,,,,,,
November,,,,,,,,,,1.63,3.04,5.89,2.72,3.67,,,,,,
December,,,,,,,,,1.2,4.63,2.74,4.3,5.22,3.12,,,,,,
Total,,,,,,,,,,40.51,36.5,37.67,37.03,30.45,,,,,,
