CRANBROOK (SW),,,,,,,,,,,,
Grid ref,TQ784361,Long,0.546422,Lat,51.096454,,,,,,,
Station no,325/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.85,,
February,,,,,,,,,,2.48,,
March,,,,,,,,,,2.41,,
April,,,,,,,,,1.15,0.80,,
May,,,,,,,,,1.25,2.15,,
June,,,,,,,,,0.51,1.60,,
July,,,,,,,,,1.92,3.45,,
August,,,,,,,,,1.11,4.92,,
September,,,,,,,,,0.12,4.70,,
October,,,,,,,,,2.79,8.09,,
November,,,,,,,,,4.97,7.04,,
December,,,,,,,,,8.07,3.78,,
Total,,,,,,,,,,44.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.89,44.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
