DUCHRAY VALLEY ( BEN LOMOND ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN401017,Long,-4.577717,Lat,56.181016,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,7.8,7.45,16.8,10.8,22.1,2.75,13.2,6.95,17.4,10.9,16.55,4.5,5.55,12.65,13.25,5.75,2.5,1.1,7.8,10,11.5,4,11.9,11.7,12.25,11,8.35,11.65,6.75,8,9.56,5.2,4.7,13.2,10.6,3.3,5.4
February,,,,,2.5,4.9,10.8,6.65,10.85,3.8,0.4,6.85,0.05,6,2.3,12.1,4.4,5.35,9.9,11.15,4,6.15,2.5,10.1,3.8,16.2,7.6,1.2,11.3,10.9,8.8,4.6,4.15,6.5,6.62,4.49,3.1,5.8,3.7,4.5,7.5
March,,,,,0.85,3,9.8,6.9,8.6,2.4,6.2,1.45,3.6,5.5,3.1,3.65,6,1.3,11.15,6.4,7.2,2.4,5,5.4,1.45,7.55,5.05,6,10.8,4.65,8.1,4.3,8.4,2.2,6.7,2.11,5.65,10.7,3.5,8.5,3.6
April,,,,,4.6,7.8,5,6.7,4.8,1.9,3.1,4.25,8.2,5.8,5.5,6.3,2.7,5,2.7,4.3,5.6,4.15,5.35,8.15,5.35,4.1,3,15.5,7.7,11.75,6.7,6.2,4.7,3.6,5.5,6.9,3.2,4,3.7,7.1,11.4
May,,,,,7.9,12.8,6.5,4.5,2.1,7.45,5.6,8.85,5.1,3.55,5.9,0.55,3.45,2.9,7.05,2.35,1.55,3.65,6.15,5.35,6.25,7.65,2.2,6.95,3.5,4.5,3.25,3.3,3.35,5.7,5.5,6,7,4.3,6.7,2.3,5.7
June,,,,,5.9,1.8,6.1,8.45,9.6,5.85,5.15,11,3.5,3.7,2.8,8.9,3.25,6.15,11.6,4.75,1.25,1.3,3.25,8.25,7.15,9.5,8.6,7.7,7.4,2.35,3.7,4.2,6,2.7,6.2,5.9,5.5,3.5,4.4,4.6,5.8
July,,,,,11.5,3.3,5.9,6.2,9.1,8.75,5.85,6.9,8.45,7.35,5.2,3.5,9.95,8.15,7.9,11.15,5.35,4.7,7.9,4.05,6.9,6.15,6.9,7.1,9.1,3.9,12.5,6.4,5.85,10.55,5.1,1.3,8.9,7.9,6.4,9.2,9.5
August,,,,,7.4,7.1,8.5,9.45,9.85,11.3,12.1,3,3.55,7.7,8.4,5.2,5.5,5.45,4.7,3.4,5.35,8.15,12.6,13.4,6.7,3.5,7.05,0,14.65,8.5,12.2,11.6,5.9,7.6,8.65,1.7,9.2,7.85,9.2,4.7,5.3
September,,,,,11.2,5.7,7.4,8.85,8.15,4.6,6.65,2.65,7,1.85,14,11.8,7.8,7.85,10,4.9,6.05,3.7,14.4,7.9,8.9,11.7,14.5,10.2,15.6,4.4,21,7.6,6.2,12.6,12.9,8.8,9.8,7.3,6.4,2.8,5.2
October,,,,,7.4,9.9,7.75,11.3,14.6,13.05,14.15,9.8,10.05,6.4,17.65,18.3,11.85,4.5,18.35,6.7,13.3,9.35,12.55,20.2,9.2,12.25,0.9,6.2,15.65,13.7,11.25,3.5,9.15,7.3,15.6,8,7.1,11.1,9.5,9.3,6.8
November,,,,,8.8,2.2,12.5,10.1,13.5,12.6,10.45,15.6,9.4,4.7,3.5,6.8,5.75,1.95,15.7,15,11.5,10.25,2.8,6.4,9.9,1.8,13.9,14.3,7.85,10.55,7.7,13.35,3.4,18.1,14.2,5.25,5,3,3.65,10.2,12.3
December,,,,,15.95,6.65,5.15,2.5,9.8,20.4,9,11.7,16.2,2.65,19.8,4.85,13.35,4.55,8.75,5.7,10.25,7.25,10.3,5.15,10,7.6,8.85,4.05,15.55,18.65,4.33,13.8,6.9,10.5,17.5,15.2,12.55,11.5,10.6,15.5,9.8
Total,,,,,91.8,72.6,102.2,92.4,123.05,94.85,91.85,89,92.5,66.1,104.7,86.45,79.55,65.8,121.05,81.55,73.9,62.15,90.6,104.35,87.1,92,90.45,90.9,131.35,104.85,107.88,90.5,70.75,95.35,114.03,70.85,81.7,90.15,78.35,82,88.3
