YARMOUTH ORMESBY ST MICHAEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG469152,Long,1.651029,Lat,52.678196,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.54,1.29,1.61,1.71,0.93,3.82,1.41,0.86,1.16,2.93,2.13,2.08,2.78,2.95,3.5,1.7,2.09,3.05,3.13,2.32,1.97,4.75,1.79,2.15,1.21,2.37,2.16,3.14,1.51,1.61,2.53,0.71,0.9,1.32,2.62,2.6,3.49,1.98,4.77,1.15,1.49,3.1,3.82,2.29,2.24,1.56,1.42,3.9,1.04,1.02,2.24,2.28,1.41,2.18,1.68,3.34,1.45,2.19,2.89,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.43,0.8,0.43,3.01,1.34,2.35,1.84,1.77,0.79,2.34,1.76,1.59,0.7,1.73,2.96,4.45,1.51,1.2,2.92,0.85,0.43,2.84,3.01,1.61,2.07,1.91,2.02,1.53,0.35,0.75,2.57,0.56,1.49,0.46,1.7,2.98,2.73,0.81,0.9,0.84,2,0.56,0.73,1.91,1.59,3.75,2,0.76,0.91,2.89,3.47,1.08,1.66,2.47,2.43,2.2,2.19,3.4,0.29,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.79,1.44,1.4,1.58,1.59,1.73,1.38,2.46,2.27,0.96,1.94,2.76,2.43,3.2,2.43,3.61,2.82,0.92,1.93,1.18,1.1,1.67,1.19,0.57,1.79,0.37,1.8,1.29,0.09,1.59,0.4,1.73,1.79,1.23,0.46,0.58,2.07,0.41,2.02,2.82,2.71,2.12,0.51,0.7,2.12,0.79,3.83,0.67,1.36,0.33,3.4,2.38,0.61,2.63,1.8,0.83,1.85,1.99,0.81,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.36,1.22,2,1.08,2.02,0.84,2.4,2.54,1.68,1.89,1.65,0.48,2.43,0.87,0.81,2.02,2.34,3.13,1.91,3.16,1.46,2.36,0.75,1.78,2.47,2.54,1.56,1.26,1.14,1.35,2.77,2.26,0.89,2.01,2.09,1.43,2.13,0.68,2.67,1.44,0.89,0.65,0.76,1.85,2.59,0.73,1.89,0.91,1.64,1.75,3.64,1.29,2.23,0.54,0.45,0.84,0.68,1.11,1.53,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.75,3.74,1.64,2.06,1.31,3.19,2.52,1.37,1.2,3.33,1,0.98,1.25,1.57,2.22,2.25,0.83,0.8,1.23,1.13,1.42,0.72,1.15,3.83,1.6,1.04,0.73,2.21,1.04,2.72,4.03,3.29,1.91,1.42,1.4,0.6,1.61,1.61,0.87,0.26,2.04,2.22,1.16,1.27,2.09,1.15,0.85,2.96,2.06,2.27,2.12,1.73,1.28,1.6,2.57,0.36,1.81,3.75,0.52,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.92,2.05,1.97,1.72,0.85,3.06,2.87,2.3,0.94,1.87,2.4,2.8,5.08,1.05,1.58,1.07,4.09,1.15,1.04,1.75,1.96,0.48,1.5,0.88,1.58,0.92,2.99,4.8,2.1,1.48,1.43,1.72,0.21,3.17,1.42,2.26,3.12,0.61,0.52,1.28,0.49,1.08,1.25,1.17,1.51,2.09,2.55,1.27,2.75,0.31,2.34,1.69,1.99,2.01,2.85,2.54,2.18,2.26,2.4,0.78,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.29,0.94,2.1,3.18,1.7,1.1,0.3,1.09,2.58,3.34,5.76,0.77,3.16,2.59,2.77,5.32,0.92,4.08,5.17,2.63,2.84,0.53,5.52,1.67,4.15,1.4,2.28,2.32,1.65,3.94,3.87,3.96,2.45,1.78,0.78,1.19,3.21,1.67,1.88,1.66,3.36,2.65,3.41,0.46,1.52,1.18,5.68,1.2,2.07,0.9,3.4,1.47,2.05,2.28,2.99,0.39,2.55,3.44,3.2,0.97,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,4.27,0.98,2.87,2.83,2.97,4.01,1.83,1.46,2.36,1.73,2,0.77,10.14,1.28,0.77,3.45,2.68,5.4,2.06,2.55,1.51,1.79,1.66,2.62,2.44,2.31,2.2,3.02,1.83,1.16,3.13,3.09,2.9,1.23,2.44,1.3,1.28,0.42,0.59,2.04,1.19,3.69,1.61,1.73,1.07,3.5,4.48,0.3,2.69,1.6,2.46,2.32,2.74,2.78,6.13,1.4,3.01,3.59,3.34,2.26,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.22,1.06,1.06,2.67,1.93,1.94,1.23,0.32,2.11,2.63,1.54,2.1,2.95,2.34,1.66,2.32,1.79,1.95,4.23,1.37,2.12,1.3,3.26,1.25,2.67,3.5,1.13,3.49,1.33,0.47,6.13,1.87,2.05,3.05,1.83,2.28,2.55,2.84,1.43,1.33,0.99,0.3,1.72,2.98,3.08,1.36,2.62,0.81,1.52,3.54,3.17,1.89,3.4,1.82,1.75,1.53,1.07,3.64,1.94,0.05,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2,1.91,1.36,4.12,1.34,4.28,3.02,3.28,2.16,3.28,1.73,3.17,2.08,4.83,2.17,2.49,2.95,3.03,2.69,3.67,0.69,1.49,1.35,3.09,4.69,1.84,2.94,2.62,2.34,2.85,1.28,1.24,4.15,2.91,2.01,2.55,2.16,1.82,2.52,6.21,2.8,2.85,3.63,1.21,3.49,2.22,1.32,0.32,1.51,3.62,1.21,1.16,1.82,2.01,2.48,4.55,3.6,0.99,2.59,2.66,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
