COULSDON-THE-VALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ301603,Long,-0.13309,Lat,51.32751,Elevation,318,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,89/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.04,5.79,2.57,2.13,3.12,6.1,2.34,0.81,2.57,2.36,4.1,1.65,0.93,3.87,2.65,0.48,1.39,3.17,4.61,2.12,2.84,2.93,2.68
February,,,,,,,,0.82,1.83,2.27,2.85,0.7,1.94,0.71,3.6,-999,1.47,2.06,1.37,5.33,7.63,0.99,1.6,2.55,1.79,0.56,3.72,2.32,0.09,2.01
March,,,,,,,,0.46,1.48,3.61,3.62,1.84,0.4,0.03,1.24,-999,5.78,0.98,1.19,1.56,3.78,2.95,0.45,2.5,1.47,0.91,1.13,1.49,2.49,2.05
April,,,,,,,,0.16,2.87,2.16,2.12,2.03,0.97,1.54,1.26,2.62,2.12,1.76,1.81,3.34,3.17,1.59,2.7,0.36,0.32,1.62,0.23,1.58,2.57,0.75
May,,,,,,,,2.27,2.01,1.08,1.93,3.4,2.77,0.62,2.83,3.43,1.66,1.63,1.79,1.4,2.64,1.35,1.97,3.78,4.19,0.29,1.62,2.54,0.69,1.72
June,,,,,,,,0.64,0.94,0.39,2.2,0.16,1.52,1.93,2.23,3.45,2.82,3.04,1.23,1.58,1.13,1.63,1.75,3.79,2.3,3.06,0.99,4.56,1.2,1.43
July,,,,,,,,1.87,2.99,2.75,2.85,2.89,1.63,2.28,2.48,2.44,1.33,1.47,0.72,2.89,2.44,0.72,3.49,2.81,1.13,4.77,3.14,2.1,1.35,3.25
August,,,,,,,,2.51,3.76,0.07,4.24,2.43,1.34,2.32,2.77,4.03,0.2,4.36,1.5,1.98,3.74,3.32,1.72,3.54,1.53,3.41,2.8,2.91,1.6,3.61
September,,,,,,,,2.62,1.5,1.94,,1.38,1.75,3.08,2.17,3.3,1.41,1.91,0.43,3.18,3.37,3.06,3.64,2.37,2.2,2.82,2.87,5.33,0.26,2.55
October,,,,,,,,3.17,6.01,3.52,1.56,4.56,3.17,4.31,3.51,1.29,0.44,2.02,7.3,0.52,1.18,3.1,4.04,2.43,3.8,1.53,1.86,3.69,2.62,6.33
November,,,,,,,,4.13,4.9,8.19,3.12,1.65,1.74,4.75,0.33,4.76,1.13,1.98,3.14,6.32,6.87,3.47,1.67,5.75,1.28,0.72,3.23,1.9,3.67,5.51
December,,,,,,,,3.58,1.65,1.63,2.11,3.63,2.37,2.93,3.74,3.24,2.94,4.32,1.69,1.87,3.15,2.47,0.7,2.33,2.6,4.23,2.71,3.5,5.65,3.17
Total,,,,,,,,25.27,35.73,30.18,,27.79,25.7,26.84,26.97,35.36,23.66,29.63,23.82,30.9,42.97,27.3,24.21,33.6,25.78,28.53,26.42,34.76,25.12,35.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at 19 The Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Sept Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Daily obs from October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Feb Mar Apportioned Combined value 4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Low but print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
