HAMPSTEAD-NEW-END-SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ265859,Long,-0.17663682,Lat,51.557807,Elevation,325,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.96,3.14,0.84,1.88,0.63,1.4,1.39,4.03,2.84,0.56,4.09,1.34,1.3,2.88,3.91,2.99,2.78,3.13,1.5,3.24,,,,,,
February,,,,,,0.74,1.53,0.92,1.29,0.46,2.83,1.41,1.95,0.82,2.54,3.45,3.79,1.09,1.07,2.99,0.58,0.23,2.37,3.47,0.62,,,,,,
March,,,,,,2.38,0.92,0.78,2.28,2.53,1.04,1.55,3.2,2.26,4.27,0.89,4.44,1.57,1.07,3.81,1.52,1.32,1.81,2.6,0.96,,,,,,
April,,,,,,1.49,0.48,2.84,2.07,1.66,1.23,1.61,0.07,2.92,0.93,1.1,1.25,2.24,3.34,3.42,3.59,1.39,3.15,1.68,4.26,,,,,,
May,,,,,,1.1,1.24,1.17,1.48,1.6,1.99,1.39,1.1,1.79,1.94,3.37,1.89,2.68,1.95,0.35,1.17,1.19,0.73,2.58,,,,,,,
June,,,,,,3.18,2.39,1.78,1.23,3.12,1.96,2.17,3.74,0.41,1.36,0.89,2.17,3.84,0.97,1.7,1.54,0.3,1.15,0.5,,,,,,,
July,,,,,,1.47,0.47,1.76,3.28,3.1,2.22,0.82,1.63,2.57,1.62,5.44,1.22,4,5.02,1.94,4.61,0.21,3.39,3.45,,,,,,,
August,,,,,,1.9,0.85,1.84,1.86,1.48,1.73,0.72,4.53,1.33,1.68,2.71,4.05,4.29,1.47,3.11,1.83,2.11,2.28,3.44,,,,,,,
September,,,,,,1.37,1.5,0.6,1.57,2.18,0.42,1.43,2.04,1.77,1.17,1.98,1.83,2.02,7.15,1.55,3.35,2.72,2.25,1.22,,,,,,,
October,,,,,,1.08,2.72,2.62,1.58,3.69,1.98,3.03,2.38,3.16,1.37,2.25,3.47,3.2,1.36,0.71,1.78,0.62,1.05,6.5,,,,,,,
November,,,,,,2.38,3.62,2.11,0.61,0.91,2.75,3.58,1.67,2.48,3.2,2.35,4.91,1.7,2.33,1.65,1.29,2.11,1.56,1.5,,,,,,,
December,,,,,,0.81,1.73,3.25,1.91,2.37,3.21,4.51,2.67,0.69,6.26,5.74,2.39,1,2.71,4.1,2.58,1.32,2.89,2.53,,,,,,,
Total,,,,,,18.86,20.59,20.51,21.04,23.73,22.76,23.61,29.01,23.04,26.9,34.26,32.75,28.93,31.32,29.24,26.83,16.3,25.76,30.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is mid point of New End Square (about 100m long). Altitude from OS map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge seems to have started life at the bathing pond on Hampstead Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tthe nearest bathing pond is 800m E and the furthest are 1.3km E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The move seems to have happened in 1907 or 1908.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
