"GLEN CRERAN (FASNACLOICH)",,,,,,,,,,,,
Grid ref,NN020477,Long,-5.225275,Lat,56.579328,,,,,,,
Station no,5400/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.50,,,,,,,,
February,,,,5.53,,,,,,,,
March,,,,6.66,,,,,,,,
April,,,,,,,,,,,,
May,,,5.58,,,,,,,,,
June,,,0.85,,,,,,,,,
July,,,9.71,,,,,,,,,
August,,,8.92,,,,,,,,,
September,,,13.86,,,,,,,,,
October,,,8.12,,,,,,,,,
November,,,18.20,,,,,,,,,
December,,,9.13,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,74.37,20.69,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
