MANOR-PARK-CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ418863,Long,0.044083,Lat,51.557766,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.79,1.18,1.22,3.1,,,,,1.45,2.56,1.54,2.15,1.17,,0.9,2.14,1.29,1.44,1.03,1.17,1.35,2.91,2.89,2.48,4.73,2.09,2.02,2,3.76,1.3,1.63,1.36,1.14,3.06,0.76,1.18,2.22,1.66,0.36,0.9,2.51,2.97,1.64,1.86,1.69,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.49,3.49,0.81,1,,,,,2.43,0.69,2.23,3.07,2.98,,0.37,0.76,1.66,0.26,1.12,0.14,1.89,1.28,3.94,0.64,0.77,1.27,1.35,,1.28,0.54,1.12,2.58,1.19,1.01,0.67,3.27,5.34,0.81,1.85,2.2,1.53,0.28,3.02,2.39,0.02,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.7,3.63,1.96,0.39,,,,,1.64,0.42,0.68,0.17,1.61,,0.07,1.52,0.24,1.58,1.49,1.96,0.35,1.01,2.54,0.28,1.22,3.48,2.95,,0.51,0.08,0.94,1.14,5.28,1.06,0.58,0.51,2.78,2.99,0.41,1.65,1.21,0.69,1.37,1.08,1.3,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.95,1.21,1.86,3.33,,,,,1.05,1.88,1.52,3.24,1.67,,1.19,1.47,3.31,2.25,0.74,2.09,2.44,1.1,2.19,0.18,2.22,1.41,0.97,0.8,1.35,1.27,0.8,1.26,1.01,1.46,1.32,2.31,2.7,0.86,2.23,0.26,0.38,1.16,0.09,1.78,1.8,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.14,1.52,3,1.33,,,,,1.67,2.67,1.36,0.75,1.29,,1.94,3.18,2.43,2.91,1.83,0.44,1.4,0.86,3.22,1.66,1.68,1.07,1.35,2.81,1.63,0.6,2.04,2.99,1.19,2.46,2,1.11,1.79,1.27,1.3,1.81,4.12,0.64,1.01,2.07,1.09,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.99,2.02,1.68,2,,,,,0.37,2.62,0.03,3.14,2.35,,1.05,2.98,1.06,0.57,4.43,1.28,3.25,2.72,2.02,0.34,1.32,0.58,1.13,,1.4,1.8,1.63,2.43,2.59,4.57,0.88,1.3,0.91,2.17,1.33,2.56,2.12,3.05,0.74,4.93,0.73,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.09,1.8,3.72,6.83,,,,,2.7,2.41,4.22,2.47,2.39,1.24,1.84,1.84,3.19,2.05,0.96,0.86,0.84,2.27,1.88,1.89,2.28,3.59,1.95,1.54,1.91,1.43,3.13,2.67,1.71,0.91,1.51,3.64,1.12,0.78,3.79,1.76,0.3,3.78,4.25,2.05,1.33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.93,4.13,4.18,1.26,,,,,1.98,2.32,2.77,2.46,3.73,1.62,1.83,3.27,5.24,3.47,0.57,1.94,1.95,0.33,0.89,2.05,4.49,0,4.42,2.09,1.5,2.67,1.3,3.63,0.03,3.91,1.35,1.6,3.83,2.8,1.5,2.05,0.94,4.51,1.23,3.01,1.29,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.8,0.89,1.45,4.9,,,,,0.97,2.29,2,1.05,4.19,0.57,0.36,2.58,1.53,2.08,2.47,0.82,2.7,2.39,1.16,2.56,1.51,1,0.65,0.77,1.53,3.07,1.14,2.41,1.23,0.97,0.78,2.16,2.82,2.7,2.11,1.26,2.11,2.07,2.17,4.19,0.12,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,1.61,2.43,2.72,1.39,,,,,3.85,2.3,2.7,1.93,0.88,2.81,2.47,1.1,0.56,4.98,1.41,1.12,2.23,1.4,1.93,2.33,5.8,1.34,0.5,3.78,2.01,2.58,1.67,0.76,0.11,1.87,5.28,0.31,1.01,2.31,3.15,1.59,3.31,1.47,1.75,2.12,1.81,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
