GLENFINNAN HEAD OF LOCH SHEIL INVERNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 905 808,Long,-5.43916,Lat,56.871175,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,19.54,11.45,8.09,8.52,15.62,19.38,16.75,12.79,10.55,12.64,12.24,3.72,12,1.76,14.53,10.65,18.91,6.84,13.05,13.63,12.23,12.83,19.51,12.11,16.68,11.67,15.91,4.51,10.47,2.7,16.9,10.84,13.73,8.47,10.75,14.34,12.67,12.45,16.47,10.42,15.79,15.47,16.87,12.12,10.25,11.43,,,,,,
February,,,,,,,,,29.92,12.93,8.62,12.34,10.37,1.99,5.3,3.7,8.29,16,7.49,4.3,14.58,5.62,11.96,13.56,14.11,13.08,4.85,10.08,6.77,10.51,2.22,8.73,5.35,10.74,17.76,1.84,9.65,8.29,14.37,6.46,4.43,4.85,2.24,17,8.07,11.03,7.75,10.49,15.64,8.15,11.43,14.34,6.9,8.97,,,,,,
March,,,,,,,,,14.79,2.96,4.32,14.89,5.07,3.91,17.06,5.51,15.73,7.76,11.21,8.47,6.36,11.43,16.05,4.45,8.64,9.31,6.25,5.13,6.73,9.77,14.49,8.03,2.4,7.29,9.46,7.75,14.98,12.04,9.89,12.41,1.22,5.46,11.83,14.46,5.17,10.51,7.67,8.77,10.21,1.37,9.35,5.52,11.1,14.33,,,,,,
April,,,,,,,,,5.66,5.61,9.58,3.63,4.92,2.77,9.92,6.41,3.48,3,3.64,2.53,7.77,3.25,6.87,3.99,1.93,5.35,6.51,5.37,6.34,4.18,4.81,2.09,3.48,3.59,2.95,6.22,7.76,5.74,8.65,9.17,9.7,6.78,5.48,4.64,15.18,4.87,6.34,5.68,4.65,5.84,9.28,10.56,12.65,7.91,,,,,,
May,,,,,,,,2.92,7.45,1.27,8.16,2.37,7.04,5.44,3.52,10.25,3.04,5.28,6.83,5.2,4.53,4.48,5.29,6.42,8.67,5.93,4.87,3.45,8.95,3.74,3.62,2.78,8.45,3.96,6.33,2.6,2.4,7.09,5.29,4.32,8.1,2.6,6.5,5.42,7.46,5.14,2.98,5.12,4.86,6.02,8.5,6.35,4.9,7.89,,,,,,
June,,,,,,,,5.29,9.59,3.16,5.64,2.63,11.62,6.56,5.63,6.26,7.7,12.88,4.63,4.52,6.22,10.99,6.98,5,4.42,5.99,5.67,5.4,4.05,1.74,10.1,3.22,4.56,1.64,5.24,3.1,8.16,3.69,6.12,3.42,4.92,6.9,1.45,2.69,8.78,2.21,1.26,9.6,8.93,2.66,2.73,6.32,7.03,10.47,,,,,,
July,,,,,,,,5.29,3.24,6.94,6.75,10.05,4.72,7.94,7.5,3.45,8.69,8.96,4.62,11.41,4.6,11.52,9.33,3.9,6.37,5.39,7.41,10.34,5.52,1.8,9.73,5.39,5.45,7.39,6.55,6.89,5.99,12.82,4.02,5.76,7.19,6.27,7.22,10.11,5.76,6.93,9.94,3.71,5.91,10.12,5.55,8.59,6.05,1.51,,,,,,
August,,,,,,,,8.68,14.06,3.22,1.83,9.29,6.65,11.71,8.81,12.71,7.77,4.58,7.98,6.4,3.4,6.68,6.24,10.49,7.16,4.37,6.76,5.19,11.28,9.93,9.82,11.24,9.61,8.67,9.25,10.17,10.85,8.45,7.97,4.62,10.3,7.19,7.06,15.49,6.72,10.11,7.47,12.98,9,9.38,12.16,9.93,5.04,4.32,,,,,,
September,,,,,,,,13.92,3.13,16.53,8.45,3.36,11.18,7.99,16.24,5.4,3.79,6.42,16.17,16.39,7.95,4.05,7.19,6.37,9.33,17.96,10.22,5.23,4.16,5.73,11.36,14.85,16.69,13.03,0.4,8.64,8.8,11.46,14.44,14.61,12.3,7.17,9.09,8.5,10.22,11,8.04,5.2,14.36,4.39,4.2,9.92,7.87,4.91,,,,,,
October,,,,,,,,15.03,14.22,9.66,13.35,9.69,13.3,15.42,19.86,8.6,10.14,14.81,12.79,7.93,4.48,7.89,6.72,13.38,15.94,9.96,6.32,9.62,10.07,5.56,19.61,13.25,6.87,16.55,3.39,10.29,8.78,7.76,8.32,11.87,13,13.1,9.85,18.7,10.49,11.21,9.96,4.74,3.47,15.27,8.79,5.71,13.5,9.21,,,,,,
