"SKELSMERGH, KENDAL",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD522981,Long,-2.7373595,Lat,54.376146,Elevation,450,ft,,,,,,,,,,,,,
Station no,3721,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.79,4.58,6.74,6.88,14.38,2.22,9.8,5.44,9.13,5.76,8.49,2.44,6.28,5.3,,,
February,,,,,1.09,5.57,7.82,4.54,7.73,1.58,0.49,6.15,0.11,5.07,0.36,8.34,2.65,8.08,,,
March,,,,,2.73,2.25,3.33,5.88,5.39,1.5,3.52,0.99,4.24,4.22,3.94,1.96,3.37,2.15,,,
April,,,,,2.58,4.91,2.37,3.52,2.32,3.02,2.47,2.86,4.95,2.61,4.45,4.44,1.13,3.45,,,
May,,,,,6.98,6.05,2.65,2.95,1.15,3.46,2.04,3.33,5.3,3,5.06,0.52,1.54,3.49,,,
June,,,,,4.22,0.19,3.85,4.37,8.28,2.97,3.01,7.48,2.69,2.51,3.28,6.59,5.06,3.05,,,
July,,,,,5.63,2.45,4.54,5.67,9.11,6.97,4,7.48,6.52,3.26,1.95,2.38,6.42,3.83,,,
August,,,,,4.22,4.21,5.03,8.07,8.89,8.42,6.68,4.18,2.34,3.58,5.13,4.31,3.85,2.42,,,
September,,,,,7.58,5.27,5.41,8.72,4.17,3.05,3.69,2.08,7.07,1.38,6.89,9.5,6.81,5.24,,,
October,,,,7.89,5.48,5.69,4.89,5.28,9.43,7.8,11.23,5.06,9.5,6.2,9.81,8.84,5.79,2.9,,,
November,,,,7.61,3.83,2.36,7.66,8.15,11.3,10.42,7.01,10.92,4.97,2.26,1.31,5.57,6.2,,,,
December,,,,5.54,9.29,5.34,1.79,1.43,5.3,10.11,5.4,5.2,7.08,1.23,10.12,3.78,8.83,,,,
Total,,,,,58.42,48.87,56.08,65.46,87.45,61.52,59.34,61.17,63.9,41.08,60.79,58.67,57.93,,,,
