DENSHAW-OX-HEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD985104,Long,-2.0241334,Lat,53.590178,Elevation,1031,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.36,5.14,3.17,2.74,1.33,4.28,2.45,1.9,1.7,3.41,6.73,5.91,3.22,3.27,4.48,4.26,2.05,5.4,1.73,3.83,2.57,5.29,1.63,3.56,3.57,3.75,6.08,4.13,3.28,3.04,5.55,4.85,7.3,3.62,4.18,3.75,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.93,0.6,0.33,1.64,5.18,6.12,0.46,2.01,2.74,3.2,1.74,4.1,1.99,1.23,4.56,3.75,1.73,3.58,2.37,3.17,2.22,4.4,5.14,2.18,1.37,3.21,3.81,5.19,1.1,6.58,1.29,4.41,0.45,5.41,6.11,1.15,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.02,3.8,1.56,0.5,1.05,4.22,4.14,5.67,4.49,1.65,2.57,1.09,3.4,2.19,5.6,2.47,4.24,3.73,3.3,3.12,3.38,0.92,2.1,4.88,5.07,5.23,1.69,3.22,2.78,2.32,5.65,3.69,4.12,3.19,2.4,1.76,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.13,3.18,1.46,1.9,1.23,0.86,2.24,2.54,1.75,3.64,2.8,3.78,2.97,2.96,2.07,2.22,3.17,3.15,1.71,2.85,2.47,4.26,3.5,2.92,1.11,4.88,1.79,1.64,2.92,2.16,1.75,2.21,6.03,1.6,2.93,3.69,2.2,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.95,2.73,3.35,3.53,4.91,2.92,2.71,1.22,0.75,1.59,3.36,3.81,1.51,1.89,2.99,3.82,4.07,0.69,4.08,4.38,2.61,2.32,2.77,1.61,3.62,3.01,2.32,1.78,2.64,2.16,2.69,1.98,7.52,2.95,1.71,4.37,6.39,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.11,0.63,3.88,1.67,3.62,2.78,3.55,5.32,3.41,3.81,4.08,1.75,6.41,2.11,1.32,1.89,1.12,2.95,1.6,8.19,2.24,2.46,4.87,3.15,4.62,2.86,3.58,0.97,3.42,2.92,1.61,2.14,3.14,0.41,3.07,1.01,3.91,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,7.71,4.17,3.29,3.54,3.48,4.11,3.63,8.8,3.62,1.57,0.72,1.69,3.4,3.3,2.86,4.33,1.53,2.43,2.41,3.32,5.72,6.26,4.98,0.4,4.63,1.31,4.3,5.72,3.04,1.89,4.71,2.61,10.85,2.05,5.82,5.93,4.2,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.53,7.65,6.4,9.43,4.92,2.77,4.09,4.98,3,4.83,6.55,2.16,6.18,2.45,3.95,5.64,5.12,5.05,4.05,4.07,4.27,3.54,5.91,2.82,7.35,2.59,3.35,6.16,3.64,8.75,4.02,3.85,3.32,6.64,6.73,5.86,6.43,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.82,2.92,1.8,3.57,4.66,4,0.42,1.65,7.85,4.85,0.81,6.59,1.81,1.35,2.59,5.96,1.96,3.29,1.6,1.12,4.13,2.84,0.24,3.44,1.88,1.96,3.06,0.79,2.87,2.77,13.06,2.35,2.88,1.56,3.85,4.95,5.85,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.28,5.69,3.31,7.23,7.73,3.79,5.6,4.24,5.56,2.49,5.8,4.36,6.12,3.77,5.86,10,2.03,3.98,7.9,7.1,1.71,6.57,3.79,3.34,4.92,3.1,2.78,2.02,8.32,7.87,4.01,3.27,2.06,3.05,1.18,6.1,7.18,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
