DENSHAW (OX HEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD986104,Long,-2.022623,Lat,53.590178,Elevation,1031,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,15.77,,4.79,3.93,4.43,5.5,5.23,12.84,2.2,7.03,6.27,6.68,3.45,3.98,2.01,4.66,4.56,6.74,7.24,3.08,1.72,5.07,6.12,7.21,4.04,6.15,4.18,9.78,2.07,2.76,5.05,4.6,2.03,4.55,3.28,5.34,5.11,4.85,4.79,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,10.27,,6.64,1.25,6.82,4.45,1.99,5.84,1.14,1.02,6.86,0.61,4.81,0.46,6.22,3.21,6.74,2.41,5.67,3.09,5.87,1.8,3.52,2.84,6.42,7.13,1.68,3.62,2.63,5.92,3.1,1.36,2.07,3.64,3.03,2.49,3.76,7.07,0.55,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,11,,2.53,1.83,1.89,1.99,6.27,3.2,1.57,3.54,0.52,3.46,4.2,3.76,2.34,3.61,3.3,1.53,3.64,3.82,5.7,3.37,1.84,0.76,1.68,2.1,6.52,1.82,1.99,2.4,5.54,3.26,2.65,3.49,3.01,1.76,4.54,3.05,2.48,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,10.56,,3.85,2.39,3.12,2.26,4.61,1.28,1.63,3.4,4.19,4.36,2.38,2.93,4.62,1.94,3.17,0.71,2.97,2.67,3.4,2.77,2.59,3.39,3.05,2.17,4.78,2.3,4.81,4.33,3.15,4.04,3.81,0.93,2.69,3.19,0.64,1.73,4.77,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,12.18,,4.71,6.71,4.55,6.09,1.78,1.99,3.97,2.85,3.58,5.75,1.99,3.45,0.92,1.7,2.47,4.75,2.32,1.03,3.14,5.58,3.02,4.79,4.24,2.08,2.88,1.86,4.72,2.22,2.91,2.7,2.97,3.88,4.67,2.42,1.64,5.06,2.65,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,6.62,,1.38,4.18,0.1,3.88,4.95,7.47,1.69,2.44,7.65,0.87,3.78,2.9,4.7,5.46,2.59,5.24,4.27,1.06,2,1.33,4.35,4.33,6.63,3.56,3.13,4.74,1.01,2.88,0.93,3.71,3.22,4.09,3.65,3.89,2.55,5.96,2.9,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,18.72,,6.37,4.48,3.05,3.57,4.05,2.43,3.02,8.23,6.25,5.13,4.43,4.36,2.36,4.82,2.56,4.64,7.81,4.97,2.6,5.41,3.56,4.24,1.98,5.8,3,2.14,2.55,4.46,4.77,3.33,8.15,6.52,1.37,6.98,5,4.96,4.57,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,16.69,,6.14,6.99,5,5.36,8.29,6.46,6.66,7.44,7.37,1.64,2.25,4.27,3.25,2.78,1.92,4.15,2.75,2.56,8.43,5.87,6.77,5.11,3.08,5.95,0.42,5.84,3.08,7.53,6.76,4.66,6.42,7.34,0.82,13.33,6.1,5.57,0.81,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,8.29,,5.32,6.22,4.15,3.96,7.12,0.7,2.4,4.66,4.91,5.51,2.34,4.39,8.24,5.89,2.16,2.05,1.73,5.22,0.81,3.1,5.14,5.55,3.55,7.45,3.66,3.06,1.69,8.22,3.63,3.98,3.49,6.6,3.19,4.72,6.88,6.54,0.47,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,6.29,,6.51,7.64,7.72,4.52,5.44,5.82,6.36,7.21,3.06,8.3,5.02,5.77,10.5,5.73,2.7,11.25,3.41,5.28,6.06,7.17,3.23,4.97,6.91,1.19,1.2,3.65,5.02,2.93,1.47,6.58,2.66,9.25,2.42,3.62,7.12,4.79,4.92,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,8.69,,8.17,3.1,3.48,6.12,5.45,7.9,9.88,6.37,8.56,3.75,2.41,2.82,7.04,6.78,2.92,5.68,8.24,8.5,3.59,1.24,3.61,9.1,1,8.18,7.97,2.33,7.58,7.28,9.6,2.71,5.33,7.03,2.38,2.07,3.39,1.94,5.14,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,15.78,,4.6,7.18,4.37,2.58,1.54,3.83,8.17,3.98,2.64,2.58,0.76,6.82,3.73,4.83,3.35,6.11,4.67,5.22,2.83,4.4,2.98,4.35,3.12,4.32,4.58,4.39,8.31,3.49,8.47,4.45,2.12,7.04,6.44,5.16,5.08,5.01,7.61,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,140.86,,61.01,55.9,48.68,50.28,56.72,59.76,48.69,58.17,61.86,48.64,37.82,45.91,55.93,51.41,38.44,55.26,54.72,46.5,46.15,47.11,46.73,56.64,45.7,56.08,44,45.53,45.46,54.42,55.38,45.38,44.92,64.36,36.95,54.97,51.81,56.53,41.66,59.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
