NEWTON-VALENCE-PLACE-(8-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU722331,Long,-0.96985,Lat,51.09277,Elevation,615,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.78,1.33,3.16,5.14,5.13,3.91,5.16,2.16,2.86,4.36,5.99,2.76,5.22,1.2,6.06,2.28,4.2,2.65,3.47,0.79,,,,,
February,,,,,,,4.59,0.88,1.78,2.97,1.09,0.26,3.37,6.2,0.48,5.16,2.16,5.13,2.56,0.87,1.25,2.13,0.23,5.61,0.15,4.01,,,,,
March,,,,,,,2.97,2.44,1.22,5.55,2.19,1.82,3.02,2.46,1.72,0.83,0.76,3.95,2.66,0.18,1.34,0.44,1.9,4.84,3.6,0.8,,,,,
April,,,,,,,1.12,2.03,2.42,2.47,4.34,1.18,3.47,4.31,3.96,3.15,2.91,2.12,1.72,0.85,2.81,2.99,3.89,0.91,2.8,4.1,,,,,
May,,,,,,,1.94,2.54,1.6,0.48,1.5,1.99,0.83,2.32,3.73,4.43,2.67,1.61,1.47,2.05,2.38,2.89,4.51,2.42,1.24,1.27,,,,,
June,,,,,,,2.38,1.78,1.55,0.3,1.62,0.23,1.66,0.29,3.08,0,2.57,2.69,2.48,1.56,0.57,2.34,2.09,1.9,1.81,4.76,,,,,
July,,,,,,,1.08,4.23,3.88,1.26,5.99,0.45,5.41,1.14,4.36,2.94,2.23,3.17,1.75,1.64,2.57,5.04,3.54,2.05,2.27,1.1,,,,,
August,,,,,,,3.36,4.91,1.86,3.9,1.66,2.97,3.74,2.41,3.8,3.66,1.43,3.83,2.53,2.14,4.06,6.48,1.04,0.99,3.07,3.04,,,,,
September,,,,,,,2.12,1.81,6.27,2.14,2.36,1.17,1.44,1.39,5.71,3.38,1.19,6.38,1.35,0.52,3.2,2.42,3.69,4.24,2.6,6.14,,,,,
October,,,,,,,6.96,5.28,1.51,0.8,3.65,0.89,1.13,6.05,4.56,4.74,2.84,2.56,6.17,4.79,2.08,0.8,6.24,2.38,1.96,5.83,,,,,
November,,,,,,,4.91,1.14,3.33,2.91,2.11,2.77,2.47,1.45,3.47,2.68,7.47,4.25,2.88,9.33,5.06,5.64,1.85,0.85,3.26,8.75,,,,,
December,,,,,,,3.84,1.26,2.79,7.29,3.75,2.28,5.52,3.12,6.29,4.2,0.38,5.29,2.99,9.04,3.11,0.77,0.88,0.8,8.96,4.87,,,,,
Total,,,,,,,37.05,29.63,31.37,35.21,35.39,19.92,37.22,33.3,44.02,39.53,32.6,43.74,33.78,34.17,34.49,34.22,34.06,29.64,35.19,45.46,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 New 5in gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
