"EDINBURGH (ACADEMY)",,,,,,,,,,,,
Grid ref,NT249748,Long,-3.204489,Lat,55.960321,,,,,,,
Station no,5140,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,2.43,0.32,2.34,1.62,1.31,,,,,,
February,1.87,0.53,0.50,1.25,1.50,1.71,,,,,,
March,2.14,0.91,0.49,1.13,1.40,1.48,,,,,,
April,2.37,1.23,1.69,1.93,0.46,0.60,,,,,,
May,2.98,1.57,1.56,4.29,1.66,1.35,,,,,,
June,1.99,1.93,1.24,2.31,0.79,,,,,,,
July,4.38,2.37,4.62,1.99,1.22,,,,,,,
August,3.75,3.18,1.61,4.00,0.97,,,,,,,
September,1.38,1.51,2.20,2.73,1.05,,,,,,,
October,0.12,1.34,0.96,6.83,1.35,,,,,,,
November,3.19,2.21,2.93,3.00,0.69,,,,,,,
December,1.81,2.09,2.65,1.97,3.55,2.53,,,,,,
Total,27.76,21.30,20.77,33.77,16.26,,,,,,,
Calc annual,27.76,21.30,20.77,33.77,16.26,8.98,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
